Genero,Tipo,Nombre,Año estreno,Mes estreno,Id
Drama,Movie,Kei fung dik sau,2003,3.0,tt0305574
Drama,Movie,Mona Lisa Smile,2004,1.0,tt0304415
Drama,Movie,Muna Madan,2003,6.0,tt0304435
Drama,Movie,Petites coupures,2003,2.0,tt0304547
Drama,Movie,Japanese Story,2005,7.0,tt0304229
Drama,Movie,Paradiset,2003,2.0,tt0305945
Drama,Movie,Nadar solo,2003,6.0,tt0305873
Drama,Movie,A Foreign Affair,2003,1.0,tt0305583
Drama,Movie,Bolondok éneke,2004,10.0,tt0305316
Drama,Movie,La felicità non costa niente,2003,1.0,tt0305569
Drama,Movie,Saltimbank,2003,9.0,tt0306040
Drama,Movie,Quand tu descendras du ciel,2003,3.0,tt0304601
Drama,Movie,Cradle 2 the Grave,2003,6.0,tt0306685
Drama,Movie,Le divorce,2003,8.0,tt0306734
Drama,Movie,Sin,2004,2.0,tt0307466
Drama,Movie,Motown,2003,11.0,tt0307189
Drama,Movie,Resistance,2003,6.0,tt0306011
Drama,Movie,"The Tulse Luper Suitcases, Part 1: The Moab Story",2003,11.0,tt0307596
Drama,Movie,Kommer du med mig då,2003,11.0,tt0307566
Drama,Movie,Eden's Curve,2003,4.0,tt0306761
Drama,Movie,Prey for Rock & Roll,2004,6.0,tt0307351
Drama,Movie,Conspiracy of Silence,2006,1.0,tt0308129
Drama,Movie,Monsieur N.,2003,2.0,tt0308595
Drama,Movie,September,2003,6.0,tt0308865
Drama,Movie,Das fliegende Klassenzimmer,2003,1.0,tt0311141
Drama,Movie,Master and Commander: The Far Side of the World,2003,11.0,tt0311113
Drama,Movie,King of the Ants,2003,1.0,tt0308464
Drama,Movie,Tiempo de tormenta,2003,4.0,tt0308983
Drama,Movie,Lebenspornografie,2003,,tt0308493
Drama,Movie,The Shape of Things,2004,6.0,tt0308878
Drama,Movie,El lápiz del carpintero,2003,4.0,tt0309821
Drama,Movie,It Runs in the Family,2003,4.0,tt0311110
Drama,Movie,Lessons for an Assassin,2003,7.0,tt0308499
Drama,Movie,The Commission,2003,11.0,tt0310906
Drama,Movie,The Human Stain,2003,12.0,tt0308383
Drama,Movie,Holes,2003,4.0,tt0311289
Drama,Movie,The Dreamers,2004,4.0,tt0309987
Drama,Movie,Bad Santa,2004,11.0,tt0307987
Drama,Movie,Luther,2004,7.0,tt0309820
Drama,Movie,Missing Brendan,2003,9.0,tt0311530
Drama,Movie,Bon voyage,2003,4.0,tt0310778
Drama,Movie,Willard,2003,3.0,tt0310357
Drama,Movie,Snowboarder,2003,4.0,tt0310164
Drama,Movie,Pieces of April,2004,8.0,tt0311648
Drama,Movie,Stealing Sinatra,2003,1.0,tt0311863
Drama,Movie,Ilaria Alpi - Il più crudele dei giorni,2003,3.0,tt0311653
Drama,Movie,The Winter Warrior,2004,9.0,tt0312032
Drama,Movie,7 Year Zig Zag,2003,9.0,tt0312315
Drama,Movie,Veronica Guerin,2003,9.0,tt0312549
Drama,Movie,Ball of Wax,2003,3.0,tt0312419
Drama,Movie,Verder dan de maan,2003,11.0,tt0313752
Drama,Movie,Dripping,2003,8.0,tt0314000
Drama,Movie,O Homem do Ano,2003,8.0,tt0312773
Drama,Movie,Phileine zegt sorry,2003,10.0,tt0314502
Drama,Movie,Escape from Taliban,2003,2.0,tt0312664
Drama,Movie,Bokshu the Myth,2003,11.0,tt0313307
Drama,Movie,Detonator,2005,1.0,tt0312617
Drama,Movie,Out of Time,2004,5.0,tt0313443
Drama,Movie,My Life Without Me,2003,10.0,tt0314412
Drama,Movie,The Event,2004,2.0,tt0314039
Drama,Movie,Imagining Argentina,2004,4.0,tt0314197
Drama,Movie,Mr. Barrington,2003,5.0,tt0312981
Drama,Movie,Paris,2003,5.0,tt0313459
Drama,Movie,Baltic Storm,2003,10.0,tt0313250
Drama,Movie,Tears of the Sun,2003,11.0,tt0314353
Drama,Movie,"Moi César, 10 ans 1/2, 1m39",2003,4.0,tt0314390
Drama,Movie,Dum,2003,1.0,tt0314006
Drama,Movie,Comment ma mère accoucha de moi durant sa ménopause,2003,2.0,tt0315426
Drama,Movie,Love Actually,2003,11.0,tt0314331
Drama,Movie,Les baigneuses,2003,1.0,tt0315249
Drama,Movie,Twentynine Palms,2003,9.0,tt0315110
Drama,Movie,Dallas 362,2003,6.0,tt0315459
Drama,Movie,Runaway Jury,2004,3.0,tt0313542
Drama,Movie,La hija del caníbal,2003,1.0,tt0314170
Drama,Movie,Rien que du bonheur,2003,5.0,tt0315854
Drama,Movie,Anne B. Real,2003,6.0,tt0315775
Drama,Movie,House of Sand and Fog,2004,6.0,tt0315983
Drama,Movie,Ha-Mangalistim,2003,5.0,tt0316218
Drama,Movie,Soldados de Salamina,2003,3.0,tt0314693
Drama,Movie,Surrender,2003,3.0,tt0315845
Drama,Movie,Manhood,2003,1.0,tt0316219
Drama,Movie,Sucker Punch,2003,9.0,tt0314734
Drama,Movie,21 Grams,2004,4.0,tt0315733
Drama,Movie,Slave,2010,11.0,tt0316234
Drama,Movie,Johnny,2003,4.0,tt0316062
Drama,Movie,Radio,2003,10.0,tt0316465
Drama,Movie,Open Range,2004,6.0,tt0316356
Drama,Movie,Spy Sorge,2003,6.0,tt0316665
Drama,Movie,Behind the Nine,2003,11.0,tt0317135
Drama,Movie,La quimera de los héroes,2004,11.0,tt0318270
Drama,Movie,El juego de Arcibel,2003,5.0,tt0317772
Drama,Movie,Water's Edge,2003,10.0,tt0318181
Drama,Movie,Big Fish,2004,2.0,tt0319061
Drama,Movie,Written in Blood,2003,5.0,tt0316904
Drama,Movie,Adrenaline,2003,4.0,tt0318276
Drama,Movie,Extraño,2003,7.0,tt0317603
Drama,Movie,Il cuore altrove,2003,1.0,tt0319237
Drama,Movie,The Young Black Stallion,2003,12.0,tt0318850
Drama,Movie,Fureur,2003,4.0,tt0317535
Drama,Movie,Air Marshal,2004,5.0,tt0318281
Drama,Movie,Stupeur et tremblements,2003,9.0,tt0318725
Drama,Movie,Ce lume vesela,2003,3.0,tt0319156
Drama,Movie,How to Deal,2003,7.0,tt0319524
Drama,Movie,Masked and Anonymous,2003,8.0,tt0319829
Drama,Movie,I'll Sleep When I'm Dead,2004,4.0,tt0319531
Drama,Movie,Two Days,2003,1.0,tt0320668
Drama,Movie,Particles of Truth,2003,6.0,tt0320241
Drama,Movie,The Cooler,2004,6.0,tt0318374
Drama,Movie,Party Monster,2003,10.0,tt0320244
Drama,Movie,Ana y los otros,2006,1.0,tt0318988
Drama,Movie,Maria,2005,3.0,tt0319821
Drama,Movie,El séptimo arcángel,2003,9.0,tt0320558
Drama,Movie,Planta 4ª,2005,9.0,tt0319917
Drama,Movie,Sangre,2003,12.0,tt0320410
Drama,Movie,Boy Ecury,2003,4.0,tt0321513
Drama,Movie,The Big Empty,2009,8.0,tt0321442
Drama,Movie,Blueprint,2004,1.0,tt0321473
Drama,Movie,El fondo del mar,2003,8.0,tt0322298
Drama,Movie,Cheeky,2006,8.0,tt0321640
Drama,Movie,Detention,2003,9.0,tt0321997
Drama,Movie,The Night We Called It a Day,2003,8.0,tt0320159
Drama,Movie,Rencontre avec le dragon,2003,8.0,tt0322082
Drama,Movie,Hey DJ,2020,7.0,tt0322621
Drama,Movie,Saved by the Belles,2003,4.0,tt0320422
Drama,Movie,Attitude,2008,8.0,tt0321321
Drama,Movie,15.35: spoor 1,2003,4.0,tt0322262
Drama,Movie,Herr Lehmann,2003,10.0,tt0322545
Drama,Movie,La cruz del sur,2004,3.0,tt0321862
Drama,Movie,The Mother,2004,5.0,tt0323298
Drama,Movie,La fleur du mal,2003,8.0,tt0322289
Drama,Movie,I Love Your Work,2003,9.0,tt0322700
Drama,Movie,Honey,2004,4.0,tt0322589
Drama,Movie,Kontorstid,2003,1.0,tt0322987
Drama,Movie,Levelland,2003,5.0,tt0323050
Drama,Movie,Northfork,2003,8.0,tt0322659
Drama,Movie,Soldier's Girl,2003,1.0,tt0324013
Drama,Movie,Pahat pojat,2003,1.0,tt0323551
Drama,Movie,Salmer fra kjøkkenet,2004,4.0,tt0323872
Drama,Movie,The 13th House,2003,9.0,tt0324943
Drama,Movie,Artworks,2003,4.0,tt0325015
Drama,Movie,Searching for Haizmann,2003,3.0,tt0323911
Drama,Movie,Sylvia,2004,6.0,tt0325055
Drama,Movie,Shattered Glass,2004,8.0,tt0323944
Drama,Movie,Melvin Goes to Dinner,2003,12.0,tt0323633
Drama,Movie,Swimming Pool,2003,9.0,tt0324133
Drama,Movie,Il est plus facile pour un chameau...,2003,4.0,tt0325030
Drama,Movie,Le temps du loup,2004,1.0,tt0324197
Drama,Movie,Spinning Boris,2003,10.0,tt0324619
Drama,Movie,Ricordati di me,2003,2.0,tt0323807
Drama,Movie,Perfect Strangers,2004,2.0,tt0325968
Drama,Movie,American Cousins,2003,11.0,tt0324992
Drama,Movie,Dot the I,2003,10.0,tt0326835
Drama,Movie,Intoxicating,2003,1.0,tt0326976
Drama,Movie,Qui a tué Bambi?,2004,7.0,tt0326036
Drama,Movie,Pledge of Allegiance,2003,,tt0325988
Drama,Movie,Befreite Zone,2004,5.0,tt0325056
