Will Potter,No data,"['Un tío llamado Peste', 'Friend of the Family', 'New to Laundry', 'JAG: Alerta roja', '1997 • 1 episodio']","['Reparto', 'Producción', 'Guion']",Sin oscar
Andrew Chalmers,No data,[''],['Reparto'],Sin Oscar
Paulo Brunetti,1973,"['No', 'Mujeres de Lujo', '2010 • 70 episodios', 'Rafael Amenábar', 'Serie de TV']","['Reparto', 'Dirección', 'Guion']",Sin oscar
Jeff Speakman,1958,[''],"['Reparto', 'Producción']",Sin oscar
Elriza Swanepoel,No data,"['Skin', 'Die Huis van Liefde', 'The Story of an African Farm', 'Uncle Max', '2006 • 1 episodio']",['Reparto'],Sin oscar
István Lénárt,1921,"['Bolond április', 'Gázolás', 'Elsö fecskék', 'Womb']","['Reparto', 'Dirección de producción', 'Localización']",Sin oscar
Jeffrey Nicholas Brown,1975,[''],"['Reparto', 'Equipos adicionales', 'Producción']",Sin Oscar
Kristen Stewart,1990,[''],"['Reparto', 'Producción', 'Dirección']",Nominado para 1 premio Óscar
Kris Lemche,1978,[''],"['Reparto', 'Producción']",Sin Oscar
Grazyna Szapolowska,1953,[''],['Reparto'],Sin Oscar
Gyun-Ho Im,No data,['Samaritan Girl'],['Reparto'],Sin oscar
Susan Varon,mayo,[''],['Reparto'],Sin oscar
Magdalena Lozowska,No data,['Vendues'],['Reparto'],Sin oscar
Dean McDermott,1966,[''],"['Reparto', 'Producción', 'Música']",Sin Oscar
Jason Antoon,1971,[''],"['Reparto', 'Guion', 'Producción']",Sin oscar
Jean Pierre Peuleve,No data,['Con las manos ensangrentadas'],['Reparto'],Sin oscar
Tomoka Kurotani,1975,"['Shinobi', 'Makai tenshô', 'Misesu Shinderera', 'El laberinto de los sueños']",['Reparto'],Sin oscar
Lynette Edwards,No data,"['Mi verano de amor', 'Noblesse Oblige', 'Screen One', '1989–1992 • 2 episodios', 'Receptionist']",['Reparto'],Sin oscar
Marius Weyers,1945,[''],['Reparto'],Sin Oscar
Chang Shen,2004,[''],['Reparto'],Sin oscar
Tommaso Ragno,1967,"['El milagro', '2018 • 8 episodios']",['Reparto'],Sin Oscar
Luis Felipe Tovar,1961,[''],"['Reparto', 'Arte', 'Dirección']",Sin Oscar
Von Alarcon,1833,"['La ley del monte', 'El clavo', 'Historia de un gran amor', 'El capitán Malacara']","['Guion', 'Banda sonora']",Sin oscar
Gemma Rigg,No data,"['Mattricide', 'Hoe Street: Sharon', 'Hoe Street: Amphibians', 'Mute', '2012']","['Guion', 'Reparto', 'Dirección']",Sin Oscar
Norman Mozzato,1940,"['Nostalgia', 'Sulla strada per dotsiko', 'Saturnino Farandola', '1977 • 4 episodios', '1975']","['Reparto', 'Guion', 'Dirección']",Sin oscar
Shanmugarajan,No data,"['Thalaivi', 'Quick Gun Murugun: Misadventures of an Indian Cowboy', 'Anniyan', 'Sivaji']",['Reparto'],Sin oscar
Christian Armbruster,No data,['Able Edwards'],['Reparto'],Sin oscar
María Carmen Diez,No data,['18-j'],['Reparto'],Sin oscar
Candide Joseph,No data,['Luces rojas'],['Reparto'],Sin oscar
Caio Ramos,1995,"['Três Irmãs', '2008–2009 • 97 episodios', '2013', 'Guilherme Braga', 'Serie de TV']",['Reparto'],Sin oscar
Chris Parker,No data,[''],"['Guion', 'Reparto', 'Producción']",Sin oscar
Bingbing Li,1973,[''],"['Reparto', 'Producción', 'Efectos visuales']",Sin Oscar
Ingrid Timková,1967,[''],['Reparto'],Sin Oscar
Nadav Abuksis,1971,[''],['Reparto'],Sin oscar
Mike Tyler,No data,['The Unauthorized Biography of Adam and Eve'],"['Dirección', 'Reparto', 'Guion']",Sin oscar
Sarah Rosenberg,No data,[''],"['Reparto', 'Guion', 'Producción']",Sin oscar
Chad Smith,No data,No data,No data,Sin oscar
Elizabeth M. Gillin,No data,"['The Chest', 'Clubhouse', 'John', 'Instant Aggression', '2004']","['Reparto', 'Guion']",Sin oscar
Carlo Delle Piane,1936,[''],"['Reparto', 'Dirección', 'Equipos adicionales']",Sin Oscar
Gloria Ajenstat,No data,[''],['Reparto'],Sin oscar
Qianqian Wu,1955,[''],['Reparto'],Sin Oscar
Zara Kand,No data,"['Dropping Like Flies', '3,4', 'Corto']",['Reparto'],Sin oscar
Jody Lazorcik,No data,"['Tuxedo Joe', '6,6']",['Reparto'],Sin oscar
Ted Bardy,No data,"['Noise', 'Swans Crossing', '1992 • 3 episodios']",['Reparto'],Sin oscar
Dennis Apergis,No data,[''],['Reparto'],Sin oscar
Rod Harris,No data,"['Britney Spears Live from Las Vegas', '2001']",['Transporte'],Sin oscar
Antoni Corone,1955,[''],"['Reparto', 'Producción', 'Guion']",Sin Oscar
Albert Fam,No data,['Beyond Honor'],['Reparto'],Sin oscar
Valeria Bertuccelli,1969,[''],"['Reparto', 'Dirección', 'Guion']",Sin Oscar
Hilde Van Mieghem,1958,"['De suikerpot', '1997', '2004', '2013', '2010']","['Reparto', 'Dirección', 'Guion']",Sin Oscar
Sonny Shroyer,1935,[''],"['Reparto', 'Producción']",Sin Oscar
Douglas Callan,No data,"['Knuckle Sandwich', 'Murder with Too Many Notes', '1998']",['Reparto'],Sin oscar
Nancy Beatty,No data,"['Lars y una chica de verdad', 'Harriet la espía', 'Melodía de seducción', 'Nikita', '1997 • 1 episodio']",['Reparto'],Sin Oscar
Julianne Moore,1960,[''],"['Reparto', 'Producción', 'Banda sonora']",Ganó 1 premio Óscar
David Ruiz Bascaran,No data,['Sumas y restas'],['Reparto'],Sin oscar
Benjamin Ramon,1979,"['Être', 'Tokyo Anyway', 'Cannibal', ""La dame dans l'auto avec des lunettes et un fusil""]","['Reparto', 'Guion']",Sin Oscar
Imre Csuja,1960,"['El topo', 'Spy game (Juego de espías)', 'Nincsen nekem vágyam semmi', 'Üvegtigris']",['Reparto'],Sin Oscar
Amira Khalifa,1974,"['Dual', 'Maata meren alla', 'Pysäyttäkää Nyqvist', '2022 • 6 episodios', '2004']","['Reparto', 'Banda sonora']",Sin oscar
Alan Rosenthal,No data,"['Desaparecidos', 'Alphas', '2012 • 1 episodio', '1977', '1987']",['Reparto'],Sin oscar
Genevieve O'Reilly,1977,[''],['Reparto'],Sin Oscar
Sterling Fitzgerald,No data,[''],['Reparto'],Sin oscar
Evi Saoulidou,No data,"['Nyfes', 'Without', 'Bastarda', 'Homa & nero']",['Reparto'],Sin Oscar
Mami Koyama,1955,"['Akira', 'Millennium Actress', 'Snatcher CD-ROMantic', '1992', 'Balalaika(voz)']","['Reparto', 'Música', 'Guion']",Sin oscar
Rebecca Front,1964,[''],"['Reparto', 'Guion', 'Banda sonora']",Ganó 1 premio BAFTA
Parivash Nazarieh,1970,"['Pedar', 'Elixir and Dust', 'Tak-derakhtha', 'Metropole Cinema']",['Reparto'],Sin Oscar
Luke Gallant,No data,['Kill or Be Killed'],"['Reparto', 'Diseño de vestuario', 'Especialistas']",Sin oscar
Nick Searcy,1959,[''],"['Reparto', 'Dirección', 'Producción']",Sin Oscar
Edward Woodcock,No data,No data,No data,Sin oscar
Matthew Lillard,1970,[''],"['Reparto', 'Producción', 'Dirección']",Sin Oscar
Peter Outerbridge,1966,[''],"['Reparto', 'Equipos adicionales', 'Banda sonora']",Sin Oscar
Lisa Maria Potthoff,1978,[''],['Reparto'],Sin Oscar
Kent Faulcon,junio,[''],"['Reparto', 'Dirección', 'Guion']",Sin Oscar
Melissa Sagemiller,1974,[''],"['Reparto', 'Producción']",Sin Oscar
Carla Crespo,No data,[''],['Reparto'],Sin Oscar
