0,1,2,3,4
Heather Kafka,julio,[''],['Reparto'],Sin oscar
Martin Freeman,1971,[''],"['Reparto', 'Guion', 'Producción']",Ganó 1 premio Primetime Emmy
Lady Colin Campbell,1949,[''],['Reparto'],Sin oscar
Mikaela Rüegg,No data,[''],"['Reparto', 'Producción', 'Banda sonora']",Sin oscar
Leonard Cassamas,No data,"['Winter Tales', 'Wendell, Friday Evening', 'Commercial Films']","['Reparto', 'Producción', 'Guion']",Sin oscar
Oguzcan Ulu,No data,"['9 Oguz', '2023 • 3 episodios', '2017', '2021', 'Young Nasuh Sadoglu']",['Reparto'],Sin oscar
Ramón Centenero,1927,"['Los energéticos', 'Estudio 1', '1966–1970 • 5 episodios', '1980', '1964']",['Reparto'],Sin oscar
Yahya Abdul-Mateen II,1986,[''],"['Reparto', 'Producción']",Ganó 1 premio Primetime Emmy
Joe Grisaffi,1968,"['Laughing Boy', 'Lars the Emo Kid', 'Conjoined', 'Joe Returns a Video', '2019']","['Reparto', 'Casting', 'Producción']",Sin Oscar
Nancy Anka,1970,"['5.5.5', 'Lengua materna', 'De corazón', '1997', '2017']",['Reparto'],Sin oscar
Doug Tompos,enero,[''],"['Reparto', 'Dirección', 'Sonido']",Sin oscar
Judi Dench,1934,[''],"['Reparto', 'Música', 'Dirección']",Ganó 1 premio Óscar
Onur Yilmaz,No data,"['The Ottoman Lieutenant', 'Dayi: Bir Adamin Hikayesi', 'Askin Gören Gözlere Ihtiyaci yok', 'Love 101', '2021 • 8 episodios']","['Arte', 'Dirección de arte']",Sin oscar
Lorenzo Pisoni,No data,[''],"['Reparto', 'Especialistas', 'Dirección']",Sin Oscar
Tony Goldwyn,1960,[''],"['Reparto', 'Dirección', 'Guion']",Sin Oscar
Rajpal Naurang Yadav,1971,[''],"['Reparto', 'Guion', 'Dirección']",Sin Oscar
Hua Minh Dat,No data,"['Chi Muoi Ba - Phan Ket Thap Tam Muoi', 'Táo Quây', 'Ke Trôm Chó', '8,5']",['Reparto'],Sin oscar
Jolly Laskar,No data,"['Ghost of Maaikhuli', 'Wide Angle', '2017', '2021 • 1 episodio']",['Reparto'],Sin oscar
Gracyn Shinyei,2006,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Jimmy Hager,No data,"['The Last Passport', 'When We Last Spoke', 'The Mulligan', 'The Trump Prophecy']","['Reparto', 'Guion']",Sin Oscar
Steve C Ellis,No data,[''],"['Reparto', 'Guion', 'Producción']",Sin oscar
Julian Wadham,1958,[''],['Reparto'],Sin Oscar
Daniela Castorena,No data,"['Idyll Nights', 'Corto']",['Reparto'],Sin oscar
David Perry,No data,[''],"['Reparto', 'Producción']",Sin oscar
AJ Donnelly,1980,[''],"['Reparto', 'Producción']",Sin oscar
Miranda Richardson,1958,[''],"['Reparto', 'Banda sonora']",Nominado para 2 premios Óscar
Pepper Binkley,No data,[''],"['Reparto', 'Dirección', 'Guion']",Sin oscar
Keith Jardine,1975,[''],"['Reparto', 'Especialistas', 'Guion']",Sin Oscar
Stu Chaiken,No data,[''],"['Reparto', 'Producción', 'Dirección']",Sin oscar
Liz Benson,No data,"['Last Warning', 'Lotanna', 'Back to Life', 'Reparto']",['Reparto'],Sin oscar
Caveh Zahedi,1960,[''],"['Dirección', 'Guion', 'Producción']",Sin Oscar
Megan Elischer,No data,['Snakebite Protection Chronicles'],['Reparto'],Sin oscar
Gabby Wong,No data,[''],['Reparto'],Sin oscar
Siddaraja Kalyankar,1960,"['Budhivanta', 'Hare Rama Hare Krishna', '5,9', 'Reparto']",['Reparto'],Sin oscar
Juliet Ekeson,No data,"['A Lonely lane', 'Reparto', '2019']",['Reparto'],Sin oscar
Carrie Preston,junio,[''],"['Reparto', 'Dirección', 'Producción']",Ganó 1 premio Primetime Emmy
Shipra Kasana,No data,"['Lights! Camera! Murder!', 'Dunno Y3', 'The Wishing Tree']",['Reparto'],Sin oscar
Sterling Jerins,2004,[''],"['Reparto', 'Guion', 'Dirección']",Sin Oscar
Natalie Ginoble,No data,"['Donovan', ""Frank's Last Shot"", '2007']",['Reparto'],Sin oscar
Pepa Aniorte,1973,"['Volver', 'Lo que escondían sus ojos', '2016 • 4 episodios', '2015', 'Cata']","['Reparto', 'Banda sonora']",Sin oscar
Joel MacCormack,1991,[''],['Reparto'],Sin oscar
Sarah Beck Mather,No data,"['Charismata', 'Dark Souls II', '2014', 'Restaurant Mother', 'Press Woman']",['Reparto'],Sin Oscar
Tejaswini Mundasad,No data,['Cinema Pyar Dies'],['Reparto'],Sin oscar
Kiran Kumar,1953,[''],['Reparto'],Sin Oscar
Cindy Vela,1979,[''],['Reparto'],Sin oscar
Chelsea Cardwell,No data,"['Qué esperar cuando estás esperando', 'Banshee', '2013–2015 • 12 episodios', 'Maddie', '2011']",['Reparto'],Sin oscar
Sahra Asadollahi,1992,"['El viajante', 'Pesar Koshi', 'Dastan Siavash', 'Pakool']",['Reparto'],Sin oscar
Mike Reyes,No data,"['Misión imposible: Nación secreta', 'Overlord', 'Hero Sandwich', 'Castle Rock', '2019 • 10 episodios']",['Dirección de fotografía y cámara'],Sin Oscar
Tina Barbosa,No data,"['Ana Luz', '6,8', 'Sei Lá', 'Casos da Vida', '2008 • 1 episodio']",['Reparto'],Sin oscar
Aqueela Zoll,1988,[''],"['Reparto', 'Producción', 'Dirección']",Sin Oscar
Katharina Olsen,No data,['Volcanic Heaven'],['Reparto'],Sin oscar
Govind Raj,No data,['La India en llamas'],['Reparto'],Sin oscar
Abhay Bethiganti,No data,[''],"['Reparto', 'Dirección', 'Guion']",Sin oscar
Max Rhyser,No data,[''],"['Reparto', 'Producción', 'Guion']",Sin Oscar
Chinyere Nwoizuzu,No data,['Daughters love'],['Reparto'],Sin oscar
Zuzana Fialová,1974,[''],"['Reparto', 'Guion', 'Dirección']",Sin oscar
Jada Pinkett Smith,1971,[''],"['Producción', 'Reparto', 'Guion']",Sin Oscar
James Badge Dale,1978,[''],['Reparto'],Sin Oscar
Ava Cundale,No data,['For Love Nor Money'],['Reparto'],Sin oscar
Kote Shashi,No data,"['Bhagyalakshmi', 'Triveni sangama']",['Reparto'],Sin oscar
Saniya Rain,No data,"['Brielles Tale', 'Ashley', '2019']","['Reparto', 'Dirección de fotografía y cámara']",Sin oscar
Amy Sutton,No data,"['Pikachunes: Friends and Family', 'Doughnut Underestimate Me', 'Friends, Foes & Fireworks']","['Producción', 'Dirección', 'Guion']",Sin oscar
Neela Gokhle,No data,[''],['Reparto'],Sin oscar
Nicolae Urs,No data,"['Mircea', 'Boda muda', 'Capcana mercenarilor', 'Cuibul salamandrelor']",['Reparto'],Sin oscar
Chad Foster,2012,"['Western', 'Anthony Bourdain: No Reservations', '2006 • 1 episodio']",No data,Sin oscar
Zhen Guo,No data,['Once Existed'],['Composición'],Sin oscar
Riley Domingue,No data,[''],['Reparto'],Sin oscar
Jacob Tremblay,2006,[''],"['Reparto', 'Banda sonora']",Sin Oscar
Herman Kimpo,1992,"[""L'esprit du Prophète"", 'Le pasteur', '2016']",['Reparto'],Sin oscar
Michael O'Hare Wallace,No data,[''],"['Producción', 'Guion', 'Reparto']",Sin oscar
Gururaj Hosakote,No data,"['Shishya', '7,1', '4,4', 'Música']","['Música', 'Reparto', 'Composición']",Sin oscar
Veysel Erel,No data,"['Pîye Min Toz Seker', 'Resistance Is Life', '14 Tirmeh']","['Reparto', 'Cámara y electricidad', 'Producción']",Sin oscar
Patrick Brice,1983,[''],"['Dirección', 'Guion', 'Reparto']",Sin Oscar
Ivana Pantaleo,No data,"['Inside', '7,6', '5,6', '4,4']","['Reparto', 'Maquillaje', 'Dirección de arte']",Sin oscar
Yathiraj,No data,"['Bachchan', 'Just Maath Maathalli', 'My Autograph', 'Circus']",['Reparto'],Sin oscar
Michael Tong,1969,[''],"['Reparto', 'Producción']",Sin oscar
A.C. Bhaktivedanta Swami,1896,"['Kamallata', 'Asnaviràm', 'Aliens from Spaceship Earth', 'The Golden Age']","['Composición', 'Equipos adicionales']",Sin oscar
Paul Danan,1978,"[""The Queen's Nose"", '2002 • 3 episodios', 'Good Girls Club', 'Bloody Love']",['Reparto'],Sin oscar
Elana Krausz,1960,[''],"['Reparto', 'Producción', 'Dirección']",Sin oscar
Bill Lake,No data,[''],['Reparto'],Sin oscar
Vinay Ram,No data,['Nammoor Haiklu'],['Reparto'],Sin oscar
Ricky Bulda,No data,['The Musician'],['Reparto'],Sin oscar
