,country,2013_deaths,2014_deaths,2015_deaths,2016_deaths,2017_deaths,2018_deaths,2019_deaths,2020_deaths,2021_deaths,2013_population,2014_population,2015_population,2016_population,2017_population,2018_population,2019_population,2020_population,2021_population,2013_tasa,2014_tasa,2015_tasa,2016_tasa,2017_tasa,2018_tasa,2019_tasa,2020_tasa,2021_tasa
10,Italy,600744,598364,647571,615261,649061,633133,634417,740317,701346,59685227,60782668,60795612,60665551,60589445,60483973,59816673,59641488,59236213,0.010065204242249092,0.009844319436586759,0.01065160755351883,0.010141851344925557,0.01071244339670053,0.010467781274884175,0.010606022839150549,0.012412785542842258,0.011839818321944383
11,Latvia,28691,28466,28478,28580,28757,28820,27719,28854,34600,2023825,2001468,1986096,1968957,1950116,1934379,1919968,1907675,1893223,0.014176621002309982,0.01422256064048988,0.014338682520885195,0.01451529921679346,0.014746302271249505,0.01489883833519698,0.01443721978699645,0.015125217869920191,0.018275712898057968
12,Liechtenstein,246,268,252,271,249,274,263,319,271,36838,37129,37366,37622,37810,38114,38378,38747,39055,0.006677886964547478,0.007218077513533895,0.0067440989134507304,0.007203232151400776,0.0065855593758265005,0.007188959437477042,0.006852884465058106,0.00823289544997032,0.0069389322749968
13,Lithuania,41511,40252,41776,41106,40142,39574,38281,43547,47746,2971905,2943472,2921262,2888558,2847904,2808901,2794184,2794090,2795680,0.013967808526853987,0.013675006930590813,0.014300668683603182,0.014230629954461707,0.014095278492533456,0.014088784189973232,0.01370024307633284,0.015585396318658311,0.017078492531334057
14,Luxembourg,3822,3841,3983,3967,4263,4318,4283,4609,4489,537039,549680,562958,576249,590667,602005,613894,626108,634730,0.007116801573070112,0.006987701935671663,0.007075128162314062,0.006884176805512895,0.007217264550076439,0.007172697901180223,0.006976774492013279,0.007361349799076198,0.007072298457611898
15,Malta,3236,3270,3442,3342,3571,3688,3688,4084,4163,422509,429424,439691,450415,460297,475701,493559,514564,516100,0.007659008447157339,0.007614851522038824,0.007828224821522387,0.007419823940144089,0.007758034486429414,0.0077527690713284185,0.007472257622695564,0.007936816411563965,0.008066266227475296
16,Netherlands,141245,139223,147134,148997,150214,153363,151885,168678,170972,16779575,16829289,16900726,16979120,17081507,17181084,17282163,17407585,17475415,0.00841767446434132,0.008272660835523117,0.008705779858214375,0.008775307554219536,0.008793954772257506,0.008926270309836096,0.008788541110276531,0.009689913908218745,0.009783573093972304
17,Norway,41131,40369,40676,40726,40774,40840,40684,40611,42002,5051275,5107970,5166493,5210721,5258317,5295619,5328212,5367580,5391369,0.008142696645896333,0.007903139603404092,0.007873038829240647,0.00781580898305628,0.007754192073243207,0.007712035174735947,0.00763558206768049,0.007565979454428252,0.007790600124013029
18,Poland,387312,376467,394921,388009,402852,414200,409709,477355,519517,38062535,38017856,38005614,37967209,37972964,37976687,37972812,37958138,37840001,0.01017567537212117,0.009902373242720473,0.010391122743076851,0.010219581850222386,0.010608916385879175,0.010906691255084994,0.010789535418130214,0.01257582761304045,0.013729307248168413
19,Portugal,106554,104843,108539,110573,109758,113051,111793,123358,124802,10487289,10427301,10374822,10341330,10309573,10291027,10276617,10295909,10298252,0.010160299768605595,0.010054663234522528,0.010461769850123693,0.010692338412950753,0.010646221720337011,0.01098539533517889,0.010878385367480368,0.011981263626164529,0.012118755687858484
20,Serbia,100300,101247,103678,100834,103722,101655,101458,116850,136622,7181505,7146759,7114393,7076372,7040272,7001444,6963764,6926705,6871547,0.013966431827311963,0.014166841221314445,0.0145729930859878,0.014249392202671086,0.014732669419590607,0.014519147764375464,0.014569419641446781,0.016869492781921562,0.019882276873024372
21,Slovakia,52089,51346,53826,52351,53914,54293,53234,59089,73461,5410836,5415949,5421349,5426252,5435343,5443120,5450421,5457873,5459781,0.009626793345797212,0.009480517634121001,0.009928525169657958,0.009647727381625476,0.009919153216273563,0.009974610150060995,0.00976695194738168,0.010826378701006785,0.013454935280371135
22,Slovenia,19334,18886,19834,19689,20509,20485,20588,24016,23261,2058821,2061085,2062874,2064188,2065895,2066880,2080908,2095861,2108977,0.009390811537282745,0.009163134950766223,0.009614741375382112,0.009538375380537045,0.009927416446624829,0.009911073695618517,0.009893757917216908,0.011458775176407214,0.01102951810285271
23,Spain,388600,393734,420408,408231,422037,425153,416102,492447,449149,46727890,46512199,46449565,46440099,46528024,46658447,46937060,47332614,47398695,0.008316232554048557,0.008465177060323464,0.009050849023020991,0.008790485136562694,0.00907059796908633,0.009112026381846786,0.008865105739473243,0.010403967970161123,0.00947597818885098
24,Sweden,90402,88976,90907,90982,91972,92185,88766,98124,91958,9555893,9644864,9747355,9851017,9995153,10120242,10230185,10327589,10379295,0.00946034033658602,0.009225220801454536,0.009326324936354529,0.009235797684645148,0.00920166004462363,0.009108971900079069,0.008676871434876299,0.009501152689170725,0.008859753962094728
25,Switzerland,64961,63938,67606,64964,66971,67088,67780,76195,71192,8039060,8139631,8237666,8327126,8419550,8484130,8544527,8606033,8670300,0.008080671123240776,0.007855147241932712,0.008206936285107942,0.007801491174746245,0.00795422558212731,0.00790746959322877,0.007932563148317046,0.008853672766534825,0.008211019226555021
