,sex,age,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
142,M,41,398534,401370,399761,406697,408744,408590,401784,395519,376783,364114
143,M,42,393027,393337,398044,397445,405050,407089,408649,403038,395546,375579
144,M,43,387070,387996,390403,395592,395870,403348,407032,409704,402952,394122
145,M,44,383367,382539,384964,388396,394016,394303,403214,407887,409400,401330
146,M,45,383340,378857,379744,382823,386885,392552,394149,404027,407580,407801
147,M,46,372599,379359,376303,377751,381234,385380,392281,395014,403517,406140
148,M,47,368029,369056,376773,374224,376299,379480,385059,392585,394464,401977
149,M,48,371735,364419,366615,374737,372541,374683,378963,385507,391944,392954
150,M,49,353491,368291,361895,364981,373171,370674,374163,379144,384802,390380
151,M,50,339973,350088,365661,360016,363484,371322,369826,374188,378233,383203
152,M,51,330497,336815,347712,363714,358415,361748,370455,369553,373264,376657
153,M,52,331546,327491,334461,345713,361999,356530,360782,370157,368517,371676
154,M,53,321337,328231,325236,332481,343978,360050,355471,360296,368932,366677
155,M,54,312964,318238,325819,323210,330594,342187,358805,354959,358879,367000
156,M,55,303665,310095,315877,323855,321353,328574,340785,357949,353597,357133
157,M,56,282446,300796,307581,313701,322035,319404,327218,339987,356499,351648
158,M,57,272775,279705,298333,305386,311660,319857,317965,326158,338438,354579
159,M,58,258327,270163,277499,296024,303270,309467,318210,317120,324443,336458
160,M,59,258446,255761,267843,275165,294007,300911,307783,317032,315412,322291
161,M,60,257050,255724,253532,265555,273018,291801,298997,306570,314992,313141
162,M,61,238454,254444,253431,251306,263426,270776,290026,297500,304474,312381
163,M,62,232098,235883,252105,250938,249192,261190,268776,288294,295075,301926
164,M,63,238693,229546,233456,249649,248674,246902,259158,267067,285748,292138
165,M,64,249266,235828,227096,231142,247057,246165,244829,257276,264424,282822
166,M,65,226623,246251,233191,224717,228868,244559,243948,242875,254392,261453
167,M,66,214246,223717,243265,230482,222192,226396,242267,241978,240239,251216
168,M,67,222325,211251,220707,239908,227531,219361,223867,239877,238895,237157
169,M,68,210156,218890,208067,217330,236421,224324,216746,221420,236200,235362
170,M,69,204795,206580,215397,204603,213881,232572,221126,214029,217836,232325
171,M,70,175399,200972,202922,211324,200939,210248,228883,218053,210043,213999
172,M,71,159559,171767,196903,198731,207337,197015,206465,225144,213603,206009
173,M,72,191827,156014,168051,192717,194500,202834,193042,202578,219969,208891
174,M,73,124084,187190,152368,164052,188105,189869,198342,189134,197511,214662
175,M,74,138724,120562,182266,148460,159818,183153,185210,193657,183812,192314
176,M,75,151445,134275,116964,176963,144097,155237,178191,180447,187569,178608
177,M,76,159382,146344,129822,113157,171268,139449,150526,173122,174113,181553
178,M,77,151159,153553,140998,125015,109055,165235,134694,145929,166325,167852
179,M,78,144137,144891,147436,135223,120130,104547,158890,129973,139649,159792
180,M,79,140979,137499,138425,140600,129367,114678,100038,152550,123765,133446
181,M,80,132578,133807,130830,131526,133736,122878,109093,95612,144348,117874
182,M,81,118931,125084,126499,123492,124598,126373,116283,103426,89661,136438
183,M,82,110074,111561,117618,118453,116010,116890,118845,109562,96360,84202
184,M,83,96195,102272,103998,109157,110483,108045,108939,111200,101285,89666
185,M,84,86265,88448,94373,95882,101006,102015,99871,101134,101891,93333
186,M,85,72866,78577,80821,85791,87705,92237,93342,91884,91490,93310
187,M,86,64664,65596,70903,72751,77498,79161,83487,84746,81978,82703
188,M,87,53754,57474,58546,62947,65064,69031,70604,74949,74575,73206
189,M,88,45219,47022,50441,51144,55479,56971,60738,62555,65031,65481
190,M,89,37711,38965,40717,43275,44210,47721,49301,52897,53270,56330
191,M,90,30086,31930,33190,34303,36782,37340,40600,42232,44067,45344
192,M,91,23241,25063,26669,27342,28624,30555,30964,34158,34284,36870
193,M,92,16285,18898,20509,21605,22395,23263,24836,25430,27104,27910
194,M,93,10984,13113,15033,16180,17338,17731,18557,19949,19714,21706
195,M,94,8046,8715,10274,11598,12607,13397,13755,14639,15119,15266
196,M,95,5798,6216,6733,7842,8848,9547,10202,10737,10739,11541
197,M,96,4255,4370,4717,4997,5981,6538,7116,7798,7792,8014
198,M,97,2880,3174,3272,3458,3783,4361,4755,5242,5545,5716
199,M,98,2085,2110,2322,2297,2543,2736,3109,3440,3626,4048
200,M,99,1434,1528,1540,1635,1669,1812,1999,2251,2426,2637
201,M,100,2604,2971,3445,1800,2305,1954,2109,2365,2574,2912
