,adr,num_cancelados,num_no_cancelados,tasa
460,71.19,6,2,0.75
461,71.2,3,13,0.19
462,71.22,2,1,0.67
463,71.23,1,3,0.25
464,71.25,2,5,0.29
465,71.28,27,5,0.84
466,71.33,1,10,0.09
467,71.4,5,12,0.29
468,71.43,4,2,0.67
469,71.46,1,2,0.33
470,71.5,1,4,0.2
471,71.55,4,12,0.25
472,71.57,1,1,0.5
473,71.6,2,16,0.11
474,71.67,1,6,0.14
475,71.76,1,2,0.33
476,72.0,231,293,0.44
477,72.07,2,19,0.1
478,72.08,4,3,0.57
479,72.12,2,2,0.5
480,72.21,1,1,0.5
481,72.24,5,3,0.62
482,72.25,76,230,0.25
483,72.36,1,2,0.33
484,72.38,2,9,0.18
485,72.4,2,3,0.4
486,72.42,1,22,0.04
487,72.45,2,4,0.33
488,72.5,6,32,0.16
489,72.67,2,4,0.33
490,72.75,2,59,0.03
491,72.76,1,20,0.05
492,72.8,8,8,0.5
493,72.86,1,2,0.33
494,72.9,24,11,0.69
495,72.97,1,1,0.5
496,73.0,67,182,0.27
497,73.08,1,3,0.25
498,73.1,7,9,0.44
499,73.15,1,19,0.05
500,73.33,24,49,0.33
501,73.35,1,5,0.17
502,73.37,1,17,0.06
503,73.4,1,4,0.2
504,73.41,2,3,0.4
505,73.44,1,6,0.14
506,73.5,7,18,0.28
507,73.67,2,1,0.67
508,73.71,1,4,0.2
509,73.75,1,3,0.25
510,73.8,21,25,0.46
511,73.89,1,1,0.5
512,73.9,4,15,0.21
513,73.95,47,27,0.64
514,74.0,25,142,0.15
515,74.06,1,3,0.25
516,74.1,2,3,0.4
517,74.15,4,10,0.29
518,74.2,1,6,0.14
519,74.23,1,1,0.5
520,74.25,32,27,0.54
521,74.28,1,1,0.5
522,74.29,1,1,0.5
523,74.4,1,7,0.12
524,74.53,1,2,0.33
525,74.57,1,5,0.17
526,74.6,1,11,0.08
527,74.61,1,12,0.08
528,74.7,4,8,0.33
529,74.75,4,4,0.5
530,74.8,215,208,0.51
531,74.84,2,3,0.4
532,75.0,1131,1495,0.43
533,75.05,1,1,0.5
534,75.15,1,1,0.5
535,75.23,1,3,0.25
536,75.24,1,3,0.25
537,75.3,1,1,0.5
538,75.33,2,23,0.08
539,75.34,1,2,0.33
540,75.43,1,2,0.33
541,75.44,2,5,0.29
542,75.5,5,2,0.71
543,75.54,3,7,0.3
544,75.6,15,44,0.25
545,75.65,5,17,0.23
546,75.66,1,1,0.5
547,75.8,1,6,0.14
548,75.82,1,1,0.5
549,75.86,2,2,0.5
550,75.89,1,2,0.33
551,75.9,4,2,0.67
552,75.99,2,1,0.67
553,76.0,40,196,0.17
554,76.12,1,1,0.5
555,76.16,4,4,0.5
556,76.2,3,2,0.6
557,76.22,1,4,0.2
558,76.24,2,4,0.33
559,76.29,5,2,0.71
560,76.3,1,4,0.2
561,76.33,1,3,0.25
562,76.38,1,1,0.5
563,76.46,1,1,0.5
564,76.48,1,1,0.5
565,76.5,205,210,0.49
566,76.58,3,13,0.19
567,76.67,30,59,0.34
568,76.72,1,1,0.5
569,76.75,1,3,0.25
570,76.76,2,2,0.5
571,76.81,1,8,0.11
572,76.86,1,2,0.33
573,76.9,1,1,0.5
574,76.92,3,6,0.33
575,76.93,9,3,0.75
576,76.95,2,2,0.5
577,77.0,21,136,0.13
578,77.01,1,1,0.5
579,77.03,1,19,0.05
580,77.14,3,6,0.33
581,77.22,1,1,0.5
582,77.23,6,19,0.24
583,77.25,10,17,0.37
584,77.29,1,3,0.25
585,77.35,31,10,0.76
586,77.4,7,12,0.37
587,77.44,2,1,0.67
588,77.5,21,19,0.52
589,77.6,5,18,0.22
590,77.69,1,4,0.2
591,77.71,1,3,0.25
592,77.73,1,1,0.5
593,77.75,1,2,0.33
594,77.76,3,9,0.25
595,77.78,1,9,0.1
596,77.85,6,8,0.43
597,77.86,9,10,0.47
598,77.88,3,1,0.75
599,77.89,1,3,0.25
600,77.93,1,3,0.25
601,78.0,121,257,0.32
602,78.15,7,5,0.58
603,78.2,11,15,0.42
604,78.26,2,1,0.67
605,78.3,51,58,0.47
606,78.31,1,4,0.2
607,78.33,1,4,0.2
608,78.35,2,12,0.14
609,78.4,8,22,0.27
610,78.41,1,3,0.25
611,78.5,11,28,0.28
612,78.53,1,1,0.5
613,78.55,1,1,0.5
614,78.56,2,4,0.33
615,78.57,2,2,0.5
616,78.6,1,6,0.14
617,78.63,1,3,0.25
618,78.69,1,1,0.5
619,78.75,1,2,0.33
620,78.77,1,1,0.5
621,78.8,2,7,0.22
622,78.81,2,3,0.4
623,78.85,1,13,0.07
624,78.94,2,4,0.33
625,79.0,174,309,0.36
626,79.05,4,8,0.33
627,79.11,3,1,0.75
628,79.14,1,1,0.5
629,79.2,282,338,0.45
630,79.25,1,1,0.5
631,79.26,2,1,0.67
632,79.27,1,2,0.33
633,79.3,1,4,0.2
634,79.33,2,2,0.5
635,79.35,2,4,0.33
636,79.43,12,4,0.75
637,79.48,1,6,0.14
638,79.5,22,54,0.29
639,79.54,2,1,0.67
640,79.56,5,8,0.38
641,79.64,1,2,0.33
642,79.66,1,2,0.33
643,79.67,1,3,0.25
644,79.72,2,1,0.67
645,79.74,2,2,0.5
646,79.75,2,5,0.29
647,79.8,5,14,0.26
648,79.84,3,3,0.5
649,79.85,1,8,0.11
650,79.88,1,2,0.33
651,79.9,1,11,0.08
652,80.0,1033,810,0.56
653,80.07,1,1,0.5
654,80.08,1,5,0.17
655,80.09,2,2,0.5
656,80.1,111,226,0.33
657,80.14,1,2,0.33
658,80.16,2,1,0.67
659,80.24,2,14,0.12
660,80.26,1,2,0.33
