tt0282543,Anthony LaPaglia,Eric Stoltz,Caroleen Feeney,Robert Vaughn,Sandrine Holt,Thomas Sadoski,Mario Cantone,Malachy McCourt,Michael Mulheren,Miriam Sirota
tt0283552,Abel Ayala,Marina Glezer,Fernando Roa,Roly Serrano,Laura Espínola,Lucas Lazzarich,Fabián Arenillas,Claudio Torres,Susana Varela,Silvia Geijo
tt0283329,Laura Drasbæk,Mikael Colville-Andersen,Janus Nabil Bakrawi,Anders Hove,Sonja Richter,Rosalinde Mynster,Oliver Thaning,Puk Damsgaard Andersen,Cristina Signorelli,Sandra Dahl
tt0282891,Kyra Sedgwick,Kiefer Sutherland,Stockard Channing,Chuck Shamata,Hannah Lochner,Corey Staden,Philip Craig,Jason Carter,Laura Press,Ian Eugene Ryan
tt0284426,Alison Elliott,Leo Burmester,Lois Smith,Chad Lowe,William Wise,Isa Thomas,Brent Crawford,Courtney Jines,Kyle Gallner,Simon Jacobs
tt0284974,Rodney Scott,Lindsay Frost,Sophia Bush,Nate Dushku,Samantha Shelton,Brett Cullen,Meat Loaf,Iva Hasperger,Cheryl Tsai,A.M. Driver
tt0285052,Jacques Villeret,André Dussollier,Thierry Lhermitte,Benoît Magimel,Suzanne Flon,Isabelle Candelier,Victor Garrivier,Bernard Collins,Damien Jouillerot,Jean-Claude Durand
tt0285531,Morgan Freeman,Thomas Jane,Jason Lee,Damian Lewis,Timothy Olyphant,Tom Sizemore,Donnie Wahlberg,Mikey Holekamp,Reece Thompson,Giacomo Baessato
tt0285534,Jeannetta Arnette,Rus Blackwell,W. Earl Brown,Jeff Chase,Barry Corbin,Dana Emberson,Kadeem Hardison,Christian Kebbel,Alicia Lagano,Brian Lally
tt0288861,Egbert Jan Weeber,Tygo Gernandt,Angela Schijf,Mads Wittermans,Tamer Avkapan,Marnie Blok,Selma Copijn,Loek Ewalds,Mark Kleuskens,Cemil Kurtgözu
tt0285475,Maisi Mayo,C.C. Costigan,Ryan Barreras,Tiffany Mayes,Tracie Hendricks,Rachelle Lanning,Russell Friedenberg,Bobby Fine,Jf Davis,Nathaniel Arcand
tt0286788,Amanda Bynes,Colin Firth,Kelly Preston,Soleil McGhee,Eileen Atkins,Jonathan Pryce,Peter Reeves,James Greene,Steven Osborne,Mike Toller
tt0286244,Michèle Caucheteux,Jean-Claude Donda,Michel Robin,Monica Viegas,Dirk Denoyelle,Graziellia de Villa,Noël Baye,Suzy Falk,Nicole Shirer,Germaine Charest
tt0285861,Philip Seymour Hoffman,Minnie Driver,John Hurt,Maury Chaykin,Ian Tracey,Sonja Smits,K.C. Collins,Jason Blicker,Vince Corazza,Roger Dunn
tt0285727,Troy Garity,Alison Folland,Randy Quaid,Bruce Dern,Hank Harris,Debra Monk,Josh Brolin,Holly Woodlawn,Suzanne Petri,John Judd
tt0286708,Terra Vnesa,Andrew Martin-Smith,Stephanie Nikolaidis,Sabrina Grdevich,Alex Poch-Goldin,John Ralston,Ron Lea,Stavroula Logothettis,Jordan Barker,Natalie Sanborn
