tt0110476,Viktor Rakov,Anastasiya Vertinskaya,Nikolay Burlyaev,Mikhail Ulyanov,Valentin Gaft,Aleksandr Filippenko,Vladimir Steklov,Viktor Pavlov,Aleksandra Zakharova,Sergey Garmash
tt0441762,Daniel Brühl,Jürgen Vogel,Sabine Timoteo,Peter Kurth,Michael Wittenborn,Oktay Özdemir,Steffen Groth,Jan-Ole Gerster,Dietmar Knochelmann,Bernardus Manders
tt0441633,Samuli Edelmann,Matleena Kuusniemi,Laura Malmivaara,Mikko Kouki,Pentti Siimes,Jussi Parviainen,Nina Björkfelt,Toni Edelmann,Anneli Gustafsson,Jarkko Hentula
tt0441774,John Travolta,Salma Hayek,Jared Leto,James Gandolfini,Scott Caan,Laura Dern,Michael Gaston,Bruce MacVittie,Dan Byrd,Andrew E. Wheeler
tt0440961,Brooke Langton,Colin Egglesfield,James Denton,Barry Corbin,William Lee Scott,Rusty Schwimmer,Susan Barnes,Tom Everett,Elise Jackson,Lauren Woodland
tt0440978,Katharina Thalbach,Dominique Horwitz,Andrzej Chyra,Wojciech Solarz,Raphael Remstedt,Marta Straszewska,Ewa Telega,Dariusz Kowalski,Barbara Kurzaj,Maria Maj
tt0441818,Jamie Sives,Julie Gayet,Jason Flemyng,Susan Lynch,Brian Cox,Nicole Ansari-Cox,Natasha Watson,Alec Westwood,Martin Forry,Susan Coyle
tt0441909,Penélope Cruz,Carmen Maura,Lola Dueñas,Blanca Portillo,Yohana Cobo,Chus Lampreave,Antonio de la Torre,Carlos Blanco,María Isabel Díaz Lago,Neus Sanz
tt0442236,Benjamín Vicuña,Gastón Pauls,Francisca Imboden,María Izquierdo,Willy Semler,Héctor Noguera,Alfredo Castro,Alejandro Trejo,Paulina Urrutia,Mateo Iribarren
tt0443354,Émilie Dequenne,Mathieu Demy,Ludmila Mikaël,Jacques Spiesser,Etienne Chicot,Eva Ionesco,Gilles David,Joël Lefrançois,Bruno Flender,Nadia Barentin
tt0443543,Edward Norton,Jessica Biel,Paul Giamatti,Rufus Sewell,Eddie Marsan,Jake Wood,Tom Fisher,Aaron Taylor-Johnson,Eleanor Tomlinson,Karl Johnson
tt0444112,Cécile de France,Valérie Lemercier,Albert Dupontel,Claude Brasseur,Christopher Thompson,Dani,Laura Morante,Suzanne Flon,Sydney Pollack,François Rollin
tt0443455,Gretchen Krich,Sullivan Brown,Maya Lawson,Jake Morgan-Scharhon,Todd Moore,Andrew Loviska,Kellan Larson,Erik Steffen Maahs,Cathleen O'Malley,Clayton Corzatte
tt0446407,Magdale Alves,Tuca Andrada,Luana Carvalho,Bete Coelho,Telma Cunha,Carla Daniel,Davi de Carvalho,Deborah Evelyn,Lucci Ferreira,Thaís Garayp
tt0444648,Chad Lindberg,Emma Bing,Max Perlich,Robert Blanche,Craig Richards,Ayanna Berkshire,Christopher Blake,Don Burns,Jim Caputo,J.W. Crawford
tt0444418,Jean-Pierre Bacri,Vincent Lindon,Benoît Magimel,Benoît Poelvoorde,Patrick Pineau,Arnaud Valois,Ferdinand Martin,Minna Haapkylä,Sophie Cattani,Philippe Lefebvre
tt0442781,Ajith Kumar,Asin Thottumkal,Kaniha,Vijayan,Mansoor Ali Khan,Ponnambalam,Ramesh Khanna,Pandu,Santhana Bharathi,Manobala
tt0443527,Cory Knauf,Samuel Child,Joseph McKelheer,Mackenzie Firgens,Rebekah Hoyle,Brittany Daniel,Al Liner,Jena Hunt,Tara Glass,Larry Laverty
tt0443512,Teresa Willis,Robertson Dean,Aviva Baumann,Vince Pavia,Mari C. Blackwell,Pop DaSilva,Zak Spears,Andy Forrest,Doug Purdy,Bob Savage
tt0443448,JJ Feild,Saïd Taghmaoui,Maria Papas,Patrick Bruel,Ian Holm,Tovah Feldshuh,Mel Raido,Cécile Cassel,Mhairi Morrison,Tom Conti
tt0445853,Rosamund Kwan,Wallace Huo,Francis Ng,Lucy Yang,Hong Zhu,Xiaoting Guo,,,,
tt0444415,Lynn Collins,Kelli Garner,Justin Theroux,Manoj Bajpayee,Bhanu Goswami,Rita Joshi,Yusuf Hussain,Vineet Kumar,Frank Langella,Sonal Jha
tt0443604,Timothy Bottoms,Ben Estus,Meredith Baxter,Sheryl Lee,Polly Bergen,Rider Strong,Brandon Smith,Connie Cooper,Dylan Patton,Emilio Mazur
tt0444182,Samy Naceri,Roschdy Zem,Sami Bouajila,Jamel Debbouze,Bernard Blancan,Mathieu Simonet,Assaad Bouab,Benoît Giros,Mélanie Laurent,Antoine Chappey
tt0446458,Karine Vanasse,Marie-Thérèse Fortin,Maxim Gaudette,Emmanuel Schwartz,Robert Lalonde,Linda Sorgini,Michel Dumont,Isabel Richer,Johanne-Marie Tremblay,Patrick Goyette
tt0444641,Ahmed Zaki,Haitham Ahmed Zaki,Ezzat Abu Ouf,Mona Zaki,Jamal Soliman,Salah Abdullah,Sameeha Abdel Aziz,Asser Yassin,Yusuf Fawzi,Mohamed Shoman
tt0446442,Juliette Binoche,John Turturro,Sara Forestier,Tom Riley,Nick Nolte,Mathieu Demy,Saïd Amadis,Magne-Håvard Brekke,Joël Lefrançois,Alexis Galmot
tt0443456,Jude Law,Robin Wright,Vera Farmiga,Martin Freeman,Juliette Binoche,Rafi Gavron,Ed Westwick,Serge Soric,Velibor Topic,Rad Lazar
tt0446370,Nathalie Baye,Victor Sévaux,Olivier Gourmet,Marie Kremer,Emmanuelle Riva,Michèle Moretti,Valentine Stach,Thomas Silberstein,Nicole Gros,Maxime Monsimier
tt0444915,Sanjay Dutt,Ameesha Patel,Jaya Prada,Gulshan Grover,Darshan Jariwala,Ramakant Dayma,Amit Divatia,Yash Gawli,Gagan Gupta,Ravi Jhankal
tt0443489,Beyoncé,Jamie Foxx,Eddie Murphy,Danny Glover,Jennifer Hudson,Anika Noni Rose,Keith D. Robinson,Sharon Leal,Hinton Battle,Mariah Iman Wilson
tt0443686,Corey Contreras,Benjamin P. Garman,H. Griffin,Charles Leggett,John Paulsen,Andrew Phelps,Debra Pralle,Earl Prebezac,Peter Richards,Sarah Rogers
tt0444631,Paul Fitzgerald,Russell Hornsby,Kate Jennings Grant,Susan Floyd,Cooper Agar,Don Henderson Baker,Al Butler,Doug Chancey,Robert Gregory Cole,Thunderbird Dinwiddie
tt0444284,Stanislas Merhar,Sophie Quinton,Aurélien Recoing,Agathe de La Boulaye,Andrée Meyer-Benjamin,Guy Minnerath,Hugues Danner,Gilles Mailfert,Clément Rimmely,Jean Rieffel
tt0444341,Arno,Valérie Lemaître,Edith Scob,François Négret,Fabrice Rodriguez,Amarante Pigla de Vitry d'Avencourt,Charles Pennequin,François Neycken,Jean-Luc Couchard,Serge Larivière
tt0447301,Emily Hamilton,Nawab Khan,Parvin Dabas,Sweta Keswani,Aarti Mann,Nikita Anand,Pavithra Subramanian,Murli Sharma,Sujata Kumar,Glenn Fitzgerald
tt0446298,Peter Krause,Kal Naga,Richard Schiff,Kari Matchett,Ian Tracey,Vanesa Tomasino,Laurie Murdoch,Michael Roberds,Agam Darshi,Mark Brandon
tt0446687,Rupert Grint,Laura Linney,Julie Walters,Fay Cohen,Ruby Mortlock,Don Wetherhead,Oliver Milburn,Tamsin Egerton,Nicholas Farrell,Jim Norton
tt0446771,Louis Herthum,Steven Chester Prince,Robert Prentiss,Shauna McLean,Ken Farmer,Cliff Stephens,Anthony Burton,Lisha Brock,Aaron Garrett,Steve Krieger
tt0446046,Antonio Banderas,Rob Brown,Yaya DaCosta,Alfre Woodard,John Ortiz,Laura Benanti,Jonathan Malen,Jasika Nicole,Shawand McKenzie,Dante Basco
tt0444840,Akshay Kumar,Katrina Kaif,Bipasha Basu,Bhagyashree Patwardhan,Shernaz Patel,Vivek Shauq,Helen,Mahesh Thakur,Ranjeet Bedi,Neena Kulkarni
tt0445691,Daniel Brühl,Tristán Ulloa,Leonardo Sbaraglia,Joel Joan,Celso Bugallo,Mercedes Sampietro,Olalla Escribano,Carlota Olcina,Bea Segura,Andrea Ros
tt0445946,John Cusack,Morgan Freeman,Jamie Anderson,Alice Krige,Megan Dodds,Corey Johnson,Jonathan Hyde,Bill Smitrovich,Anthony Warren,Ned Bellamy
tt0445035,Alexandra Lydon,Paz de la Huerta,Elizabeth Regen,Michael Alperin,Deborah LaCoy,Ward Horton,Tibor Feldman,Joey Cioffi,Jeanine Bartel,Jeff Bredt
tt0446059,Jet Li,Li Sun,Yong Dong,Yun Qu,Ailing Xu,Collin Chou,Hee Ching Paw,Nathan Jones,Shidô Nakamura,Brandon Rhea
tt0447619,Monica Bellucci,Catherine Deneuve,Moritz Bleibtreu,Sami Bouajila,Elsa Zylberstein,Nicolas Thau,Lorenzo Balducci,Nicolas Jouhet,Peter Bonke,Tubtchine Bayaertu
tt0448119,Ana Fernández,Pep Munné,Carolina Pfaffenbauer,Quim Gutiérrez,Marina Salas,Jacobo J. Zoe,Clara Segura,Josep Julien,Maria Pau Pigem,Jordi Blesa
tt0448166,Sally Field,Ben Chaplin,Julianne Nicholson,Lauren Aboulafia,Tom Cavanagh,James Murtaugh,Amy Leigh Hubbard,Terrence E. McNally,Michael Hyatt,Glenn Howerton
tt0445960,Carlos Enrique Alarcón,Édgar Alejandre,Erandini Catalina Alvarado Villegas,Rubén Bautista,Teresa de la Luz Chavira Leal,Luís Copérnico,Noel Cordero,José Flores Martínez,Daniela Fuentes Marín,Alberto García
tt0446755,Naomi Watts,Edward Norton,Liev Schreiber,Catherine An,Bin Li,Bin Wu,Alan David,Marie-Laure Descoureaux,Sally Hawkins,Juliet Howland
tt0449303,Anna Geislerová,Josef Abrhám,Jana Brejchová,Jirí Schmitzer,Emília Vásáryová,Roman Luknár,Jan Hrusínský,Jirí Machácek,Michaela Mrvíková,Adam Misík
tt0445990,Mark Wahlberg,Greg Kinnear,Elizabeth Banks,Kevin Conway,Michael Rispoli,Kirk Acevedo,Dov Davidoff,Michael Kelly,Sal Darigo,Nicoye Banks
tt0448239,Alexandra Maria Lara,Felix Klare,Razvan Vasilescu,Manfred Zapatka,Katharina Thalbach,Bruno Cathomas,Ioana Abur,Valentin Platareanu,Anna Stieblich,Doru Ana
tt0448149,Cooper Musgrove,Peter Gerety,Laila Robins,Daniel von Bargen,Jason Antoon,Yul Vazquez,Antony Del Rio,Gail Borges,Dorothy McKinnon,Larry Melfi
tt0447496,Firat Tanis,Emel Çölgeçen,Itri Kosar,Halit Ergenç,Gökhan Özoguz,Yunus Güner,Ayça Bingöl,Mustafa Simsek,Halil Ibrahim Kalaycioglu,Çelik Bilge
tt0448075,Robin Williams,Toni Collette,Rory Culkin,Joe Morton,Bobby Cannavale,Sandra Oh,Rodrigo Lopresti,John Cullum,Lisa Emery,Guenia Lemos
tt0448131,Sergio Castellitto,Ling Tai,Angelo Costabile,Hiu Sun Ha,Catherine Sng,Enrico Vanigiani,Roberto Rossi,Chungqing Xu,Biao Wang,Jian-yun Zhao
tt0448124,Alan Rickman,Sigourney Weaver,Carrie-Anne Moss,Emily Hampshire,Jackie Brown,Callum Keith Rennie,Scott Wickware,Johnny Goltz,James Allodi,Janet van de Graaf
tt0447918,Luigi Lo Cascio,Anna Mouglalis,Maurizio Donadoni,Massimo Popolizio,Andrea Osvárt,Monica Samassa,Valentina Acca,Rossella D'Andrea,Gianni Parisi,Gianni Alasca
tt0450784,Artus de Penguern,Darry Cowl,Esther Gorintin,Valérie Donzelli,Rolande Kalis,,,,,
tt0450972,Takuya Shimada,Brian Blessed,Richard Clifford,Bryce Dallas Howard,Patrick Doyle,Romola Garai,Adrian Lester,Alfred Molina,Kevin Kline,Janet McTeer
tt0450340,Jim Caviezel,Greg Kinnear,Bridget Moynahan,Joe Pantoliano,Barry Pepper,Jeremy Sisto,Peter Stormare,Chris Mulkey,Clayne Crawford,Kevin Chapman
tt0448400,Thomas Kretschmann,Keri Russell,Thomas Huber,Rainier Meissner,Marcus Lucas,Angelika Bartsch,Alexander Martschewski,Nils Dommning,Pascal Andres,Axel Wedekind
tt0450836,Jorge Perugorría,Álex González,Ana de Armas,Broselianda Hernández,Roxana Montenegro,Yoraisi Gómez,Mariam Curbelo,Surejoys Amador,Larissa Vega,Olivia Manrufo
tt0449189,Urmila Matondkar,Ashmit Patel,Dimple Kapadia,Raj Babbar,Naseeruddin Shah,Akash Khurana,Arif Zakaria,Javed Khan Amrohi,Rajeev Mishra,Chetana Das
tt0448251,Elisa Nixon,Erica Shaffer,Dennis Y. Takeda,Kipp Tribble,Tracy E. Wilson,Derik Wingo,Wil Castillo,Diane Frances Fisher,Nancy Young,
tt0449851,Gad Elmaleh,Alice Taglioni,Daniel Auteuil,Kristin Scott Thomas,Richard Berry,Virginie Ledoyen,Dany Boon,Michel Jonasz,Michel Aumont,Laurent Gamelon
tt0449318,Ari K.S.,Eric Axen,Ben Maccabee,Ashlyn Walker,Eugene Alper,Melinda Augustina,Miranda Charney,Molly Charney,Katie Cieszynski,Peter Cowan
tt0448564,Susan Sarandon,Sam Neill,Emily Blunt,Charles 'Bud' Tingwell,William McInnes,Georgie Parker,Terry Norris,Joanna Hunt-Prokhovnik,Lauren Mikkor,Heather Mitchell
tt0451271,Lela Rochon,John Diehl,Gregory Michael,Judy Dixon,Maggie Wagner,Jamie Stern,Sheila Ellis,Shaun T. Benjamin,Jack Heller,Susan Batson
tt0452003,Matthew Newton,Aden Young,Sibylla Budd,Tim Richards,Roy Billing,Rick Cosnett,Anthony Harkin,Alyssa McClelland,Peta Sergeant,Paul Gleeson
tt0452011,Manu Fullola,Brian Blessed,James Faulkner,Rolf Kanies,Holger Kunkel,Peter Guinness,Nicholas Irons,Brian Downey,Lolo Herrero,Gaetano Carotenuto
tt0450680,Adélaïde Leroux,Samuel Boidin,Henri Cretel,Jean-Marie Bruweart,David Poulain,Patrice Venant,David Legay,Inge Decaesteker,David Dewaele,
tt0450259,Leonardo DiCaprio,Djimon Hounsou,Jennifer Connelly,Kagiso Kuypers,Arnold Vosloo,Antony Coleman,Benu Mabhena,Anointing Lukola,David Harewood,Basil Wallace
tt0449467,Brad Pitt,Cate Blanchett,Gael García Bernal,Mohamed Akhzam,Peter Wight,Harriet Walter,Trevor Martin,Matyelok Gibbs,Georges Bousquet,Claudine Acs
tt0449031,Andrew McNair,Yasmin Ijaz,Saikat Ahamed,Barber Ali,Katie Amess,Farah Baig,Ryan Davenport,Nicola Duffett,Kulvinder Ghir,Michelle Grant
tt0449059,Steve Carell,Toni Collette,Greg Kinnear,Abigail Breslin,Paul Dano,Alan Arkin,Marc Turtletaub,Jill Talley,Brenda Canela,Julio Oscar Mechoso
tt0451166,Dorian Missick,Zoe Saldana,Hill Harper,Frankie Faison,William Sadler,Tonya Pinkins,Eva Marcille,Sean Nelson,Keith Nobbs,Adam Scarimbolo
tt0449999,Shah Rukh Khan,Rani Mukerji,Amitabh Bachchan,Abhishek Bachchan,Preity G Zinta,Kirron Kher,Arjun Rampal,John Abraham,Logan Anderson,Lisa Anzelmo
tt0450121,Loris Arena,Marco Ballesteros,Alba Ballotta,Filippo Bianchi,Luca Bongianni,Alessandro Buro,Andrea Cacciabue,Giacomo Calvi,Francesco Campobasso,Luca Capriotti
tt0449959,Hanspeter Müller,Gilles Tschudi,László I. Kish,Rainer Guldener,Katharina von Bock,Michael Neuenschwander,Ueli Jäggi,Georg Scharegg,Walter Hess,Niklaus Scheibli
tt0449607,Milko Cardinale,Luciano Cravino,Roberta Fornier,Djibril Kébé,Thierno Ndiaye Doss,Stefano Saccotelli,,,,
tt0449570,Anna Wilding,Phra Sathuwanda,Chalerm Chanaphan,Chaip Saissard,Vanta Kaur,Phra Visechat,Phramah Somchai,Phram Sayan,Prahamaha Veera,Phra Kannoong
tt0451135,Vanessa Williams,Tatum O'Neal,Nashawn Kearse,Christopher Scott,Rodney Henry,Donovan Jennings,Fredro Starr,Talent Harris,Eric Michael Gillett,Michael Luggio
tt0450506,Emily Barclay,Steve Bastoni,Laurence Breuls,Michael Dorman,Anthony Hayes,Geneviève Lemon,Robert Morgan,Susan Prior,Mia Wasikowska,Lawrence Aitchson
tt0450140,Ekaterina Chtchelkanova,Igor Vassine,Christopher Body,Max Ratevosian,Saglara Kitchikava,John Tokatlidis,Glen Christie,Alan Toff,Farah Merani,Sarah Harmer
tt0451176,Emily Rios,Jesse Garcia,Chalo González,Jesus Castanos,Araceli Guzman-Rico,J.R. Cruz,Listette Avila,Alicia Sixtos,Hector Quevedo,Germán Campos
tt0450440,Tijn Docter,Carice van Houten,Catherine ten Bruggencate,Karina Smulders,Maartje Remmers,Halina Reijn,Tygo Gernandt,Johnny de Mol,Maaike Neuville,Tjebbo Gerritsma
tt0451102,Marc Senter,Shay Astar,Alex Frost,Megan Henning,Robin Sydney,Michael Bowen,Ed Lauter,Dee Wallace,Erin Brown,Ruby Larocca
tt0450232,Bruce Willis,Yasiin Bey,David Morse,Jenna Stern,Casey Sander,Cylk Cozart,David Zayas,Robert Racki,Patrick Garrow,Sasha Roiz
tt0451221,Jonno Roberts,Florence Faivre,Tate Ellington,Natalie Carter,Suparat Punyama,Narisra Yos-Sombut,Ellen Burstyn,Debra Azar,Josef Sommer,Nittaya Fangsiriwong
tt0451232,Christopher Heltai,Nadia Angelini,Natasha Desai,Tara Platt,Pedro Shanahan,Cheryl Tsai,Juliana Dever,,,
tt0451264,Derik Wingo,Lorrainne Petersen,Scott Vogel,Kathryn Reese,David Royer,Holly Thomas,Patrick Barnitt,Jeff Hunter,Darlene Dadras,Jeff Sanders
tt0452780,Grégori Derangère,Anouk Grinberg,Aurélien Recoing,Niels Arestrup,Yann Collette,Laure Duthilleul,David Assaraf,Pascal Demolon,Jean-Baptiste Iera,Richard Sammel
tt0453194,Juan Diego,Silvia Munt,Eusebio Poncela,Mercedes Morán,Mario Paolucci,Gustavo Salmerón,Marta Etura,Alex Brendemühl,Juan Navarro,Francesc Orella
tt0452634,Lorraine Pilkington,Finlay Robertson,Rose Keegan,Jake Broder,Nolan Hemmings,Jake Canuso,Alex Harcourt-Smith,Martin Kerem,Samuel Kindred,Stuart Mackie Ellis
tt0452701,Sung Kang,Kelly Hu,Tom Bower,Russell Wong,José Zúñiga,Leonardo Nam,Mary Mara,Julia Ling,Bobby Lee,Kenneth Choi
tt0455861,Leo Zirner,Anya Deubel,Sarah Franke,Kirsten Block,Peter Weiß,Catrin Striebeck,Lucie Muhr,Carlo Ljubek,Fred Stillkrauth,Tobias Maier
tt0452633,Meret Becker,Hinnerk Schönemann,Heidrun Bartholomäus,Stefanie Stappenbeck,Marek Harloff,Marie-Luise Schramm,Fritz Roth,Carmen-Maja Antoni,Jana Pallaske,Bruno Schubert
tt0452180,Goran Susljik,Lazar Ristovski,Marija Vickovic,Dragan Micanovic,Vanja Ejdus,Ljuba Tadic,Milutin Jevdjenijevic,Tatjana Beljakova,Igor Djordjevic,Slobodan Pavelkic
tt0452624,George Clooney,Cate Blanchett,Tobey Maguire,Beau Bridges,Tony Curran,Leland Orser,Jack Thompson,Robin Weigert,Ravil Isyanov,Christian Oliver
tt0452345,Ruby Dee,Mia Blake,Rene Naufahu,Miriama McDowell,Taungaroa Emile,Xavier Horan,Tuva Novotny,Antony Starr,Tanea Heke,Nathaniel Lees
tt0452643,Brittany Murphy,Matthew Rhys,Catherine Tate,Santiago Cabrera,Elliot Cowan,Stephanie Beacham,Jamie Sives,Will Keen,Michael Lerner,Dawn French
tt0452594,Jennifer Aniston,Vince Vaughn,Jon Favreau,Joey Lauren Adams,Cole Hauser,Jason Bateman,Judy Davis,Justin Long,Ivan Sergei,John Michael Higgins
tt0452971,Quim Gutiérrez,Raúl Arévalo,Marta Etura,Antonio de la Torre,Héctor Colomé,Eva Pallarés,Manuel Morón,Ana Wagener,Roberto Enríquez,Natalia Mateo
tt0452943,Ana Fernández,Gustavo Garzón,Andrés Gertrúdix,Manuel Morón,Ginés García Millán,Carlos Kaniowsky,Bárbara Goenaga,Pere Arquillué,Sonia Castelo,Manolo Solo
tt0453376,Mimi Kuzyk,Peter Stebbings,Erin Shpigel,Natalie Shpigel,Kristin Booth,Stephen Lobo,Judy Sinclair,Charles Hayter,Emma Campbell,Steve Cumyn
tt0454536,Éric Caravaca,Lucas Belvaux,Claude Semal,Patrick Descamps,Natacha Régnier,Elie Belvaux,Gilbert Melki,Philippe Anciaux,Daniela Bisconti,Andrée Cambier
tt0454482,Josephine Butler,Andrew Clover,Rachel Fielding,Ruth Gemmell,Dorian Healy,Simon Kunz,Che Walker,Naomi Bentley,Julia Joyce,William Thomas
tt0454932,Lucky McKee,Nectar Rose,Kristen Bell,Ben Boyer,Mike McKee,Jesse Hlubik,Chris Sivertson,Ernie Banks,Adam Gierasch,Eddie Steeples
tt0455537,Austin Nichols,Izabella Miko,Beth Grant,Stephen Fischer,Danielle McCarthy,Elizabeth Duff,Robin Kurian,Jason Fields,Jamey Jasta,Ann Howland
tt0456111,Carmelo Gómez,Judith Diakhate,Celso Bugallo,Manuel Morón,Mariano Alameda,Vicente Romero,Walter Vidarte,Cesáreo Estébanez,Fernando Sánchez-Cabezudo,Petra Martínez
tt0452637,Paul Giamatti,Bryce Dallas Howard,Jeffrey Wright,Bob Balaban,Sarita Choudhury,Cindy Cheung,M. Night Shyamalan,Freddy Rodríguez,Bill Irwin,Mary Beth Hurt
tt0455958,Edward Burns,Matthew Lillard,Brittany Murphy,Heather Burns,John Leguizamo,Donal Logue,Jay Mohr,Shari Albert,Jessica Capshaw,Spencer Fox
tt0455841,Wood Harris,Zoe Saldana,Thomas Miles,Brian White,Mya,Scott Paulin,James Chacko,David S. Lee,Kenneth Choi,Fiona Hale
tt0454235,Oscar Alegre,María Galiana,Yaco Levy,Norma Aleandro,Ana Fernández,Fernando Peña,Damián Canduci,Carlos Issa,José Medero,Luis Gualdioni
tt0454824,James Franco,Jean Reno,Jennifer Decker,Scott Hazell,Mac McDonald,Philip Winchester,Todd Boyce,Karen Ford,Ruth Bradley,Abdul Salis
tt0455853,Dan Beene,Sara Biddle,Anthony Brooks,Natalie Canerday,Bernie Casey,James Chambliss,James Chapman,Kenny Davis,Timothy Eddy,Dorian Flemming
tt0456144,Sanjay Dutt,Arshad Warsi,Vidya Balan,Boman Irani,Dilip Prabhavalkar,Dia Mirza,Jimmy Shergill,Kulbhushan Kharbanda,Parikshit Sahni,Saurabh Shukla
tt0455612,Tyler Perry,Blair Underwood,Lynn Whitfield,Boris Kodjoe,Lisa Arrindell,Maya Angelou,Rochelle Aytes,Jenifer Lewis,Tangi Miller,Keke Palmer
tt0454096,Victoria Thaine,Jamie Black,Susie Porter,Wendy Hughes,Philip Quast,Khan Chittenden,Will Traeger,Martha Lott,Robert Mammone,Renato Musolino
tt0455957,Javier Bardem,Natalie Portman,Stellan Skarsgård,Randy Quaid,José Luis Gómez,Michael Lonsdale,Blanca Portillo,Mabel Rivera,Unax Ugalde,Fernando Tielve
tt0456287,Andreas Muñoz,Clara Lago,Yohana Cobo,Nicolae Nicula,Daniel Guzmán,Rosana Pastor,Antonio Dechent,Jorge de Juan,Cristina Perales,Alicia Mohino
tt0454879,Brendan Fraser,Yasiin Bey,Scott Glenn,Catalina Sandino Moreno,Alice Braga,Matheus Nachtergaele,Ruy Polanah,Gilson Adalberto Gomes,Luke Denis Nolan,Milhem Cortaz
tt0456020,Tyrese Gibson,Meagan Good,Larenz Tate,Shawn Parr,Henry Hunter Hall,Johnny C. Pruitt,Darris Love,William Duffy,Game,Kimora Lee Simmons
tt0456467,Damián Alcázar,Cecilia Suárez,Ernesto Gómez Cruz,Jesús Ochoa,Silverio Palacios,Antonio Serrano,Jorge Zárate,José María Yazpik,Plutarco Haza,Raúl Méndez
tt0454396,Sohail Khan,Sneha Ullal,Inder Kumar,Farida Jalal,Satish Shah,Supriya Karnik,Ehsaan Chandna,Kapil Dev,Puneet Issar,Fardeen Khan
tt0454602,Benoît Magimel,Jérémie Renier,Eric Savin,Marion Cotillard,Jean-Pierre Cassel,Mélanie Doutey,Malcolm Conrath,,,
tt0455988,Shane West,Leelee Sobieski,Eric Balfour,Rade Serbedzija,Reiley McClendon,Regina Hall,Brian Geraghty,Ed Begley Jr.,Elya Baskin,Svetlana Efremova
tt0456481,Salman Khan,Akshay Kumar,Preity G Zinta,Anupam Kher,Aman Verma,Jawed Sheikh,Soni Razdan,Nawab Shah,Steven Baker,Matt Brandstein
tt0454429,Sushmita Sen,Mithun Chakraborty,Anuj Sawhney,Ila Arun,Anjan Srivastav,Suresh Abhas,Ravi Gosain,Preeti Joshi,Swini Khara,Jhumma Mitra
tt0454848,Denzel Washington,Clive Owen,Jodie Foster,Christopher Plummer,Willem Dafoe,Chiwetel Ejiofor,Carlos Andrés Gómez,Kim Director,James Ransone,Bernie Rachelle
tt0454921,Will Smith,Thandiwe Newton,Jaden Smith,Brian Howe,James Karen,Dan Castellaneta,Kurt Fuller,Takayo Fischer,Kevin West,George Cheung
tt0455149,Brett Climo,Rebecca Gibney,Frankie J. Holden,Nicholas Hope,Sharn Hammond,Tanya Braunovic,Brodie Derrick,Cory Derrick,Peter Derrick,Tracey Mathers
tt0456698,Fernando Tejero,Santi Millán,José Luis García-Pérez,Teresa Hurtado de Ory,Mercè Martínez,Javier Coromina,Jordi Bosch,Mercè Comes,Carmen Balagué,Pep Cruz
tt0457024,Sergey Bezrukov,Aleksandr Barinov,Lev Durov,Igor Yasulovich,Vladimir Gostyukhin,Dmitriy Nazarov,Yuriy Berkun,Thomas Shlekker,Eliza Martirosova,Kolya Rastorguev
tt0454931,Sandra Hüller,Burghart Klaußner,Imogen Kogge,Anna Blomeier,Nicholas Reinke,Jens Harzer,Walter Schmidinger,Friederike Adolph,Irene Kugler,Johann Adam Oest
tt0454776,Ioan Gruffudd,Albert Finney,Michael Gambon,Romola Garai,Benedict Cumberbatch,Rufus Sewell,Youssou N'Dour,Ciarán Hinds,Toby Jones,Nicholas Farrell
tt0455590,James McAvoy,Forest Whitaker,Gillian Anderson,Kerry Washington,Simon McBurney,David Oyelowo,Stephen Rwangyezi,Abby Mukiibi Nkaaga,Adam Kotz,Sam Okelo
tt0454814,Anna Fin,Tim Williams,Dan van Husen,Luise Bähr,Tomas Spencer,Helmut Rühl,Sabine Vitua,Moritz Koch,Patrick Dewayne,Tanja Jasmin Ilg
tt0455948,Rebecca Lowman,Susan Roberts,Jennifer Harlow,Mark Reeb,Tim Wrobel,Henry Kana,Tom Procida,Kelly Dowdle,Kit Gwin,Cooper Cason
tt0455942,Laurie Bushman,Edisol W. Dotson,Michael Ehrenberg,Andy Gates,Dan Higgins,John Hull,Diane Jourdan,Veronica Klaus,Mara Luthane,Sharon Mahoney
tt0455978,John Brand,Amber Burroff,Rick Collier,Tawsha Dykstra,Ethan Ehr,Magnus B. Gervol,Kevin Gilbert,Paul Hassett,Christopher Onyon,Deidre Smith
tt0455933,Paul Barber,Tom Bell,Samantha Womack,Gary Mavers,James McMartin,Lisa Parry,Mark Russell,Andrew Schofield,Andrew Simister,Vinnie Adams
tt0457297,Eric Lively,Erica Durance,Dustin Milligan,Gina Holden,David James Lewis,Andrew Airlie,Chris Gauthier,Susan Hogan,JR Bourne,Lindsay Maxwell
tt0457201,Christopher Stewart,Annie Woods,Katrina Nelson,Don Wildman,Molly Fix,D.C. Douglas,Angelic Carney,Judy Moss,John Trapani,Joe Flood
tt0456041,Alessandro Morace,Kim Rossi Stuart,Barbora Bobulova,Marta Nobili,Pietro De Silva,Roberta Paladini,Sebastiano Tiraboschi,Francesco Benedetto,Roberta Lena,Sebastiano Busiri Vici
tt0457430,Ivana Baquero,Ariadna Gil,Sergi López,Maribel Verdú,Doug Jones,Álex Angulo,Manolo Solo,César Vea,Roger Casamajor,Ivan Massagué
