tt0118141,Michael Blevis,Carlos Richardson,Lisa Fusco,Steven C. Stewart,Crispin Glover,John Insinna,Kelly Swiderski,Robin Adams,Adam Parfrey,Rikky Wittman
tt0342504,Steve Kratz,Martina Haag,Hans Wigren,Leif Lindh,Gustav Johansson,Kristina Österberg,Börje Anterot,Zoltan Bajkai,Hans Bendrik,Carl Bernström
tt0342258,Jet Li,Bob Hoskins,Morgan Freeman,Kerry Condon,Vincent Regan,Dylan Brown,Tamer Hassan,Michael Jenn,Phyllida Law,Carole Ann Wilson
tt0341569,Monty Lapica,Diane Venora,Michael Bowen,Greg Germann,Kristina Anapau,Matthew Carey,Shane Stuart,Richard Weisner,William Stanford Davis,Michael Mantell
tt0342823,Diane Gaidry,Marianne Heath,Brette McCabe,Mira Larkin,Cory DuVal,Bruce Marovich,David Fine,Anya Luchitskaia,Richard Ira 'Chaka' Jones,Terry Forgette
tt0342882,Amira Casar,Gottfried John,Assumpta Serna,César Sarachu,Ljubisa Grujcic,Marc Bischoff,Henning Peker,Gilles Gavois,Volker Zack,Thomas Schmieder
tt0343996,Andy Garcia,Inés Sastre,Bill Murray,Alfredo Armenteros,Danny Pino,Richard Marquez,Franklin Dominguez,William Marquez,Nestor Carbonell,Tomas Milian
tt0343221,Topi Majaniemi,Marjaana Maijala,Maria Lundqvist,Michael Nyqvist,Esko Salminen,Aino-Maija Tikkanen,Kari-Pekka Toivonen,Brasse Brännström,Penny Elvira Loftéen,Ia Langhammer
tt0345370,Finn Carter,Ernie Hudson,Joe Ricci,Jamil Walker Smith,Leslie Burns,Rif Hutton,Timilee Romolini,Kip Addotta,Ellen Albertini Dow,Haskell V. Anderson III
tt0346457,Aamir Khan,Rani Mukerji,Toby Stephens,Coral Beed,Ameesha Patel,Kirron Kher,Om Puri,Ben Nealon,Habib Tanvir,Varsha Usgaonkar
tt0347056,Victoria Abril,Bruno Putzulu,Hélène de Fougerolles,Artus de Penguern,Philippe Volter,Olivier Parenty,Valérie Bonneton,Patricia Ercole,Kepa Amuchastegui,Vicky Hernández
tt0347884,Catherine Kellner,Ebon Moss-Bachrach,James Urbaniak,Peter Appel,Neal A. Corl,Rebecca Harris,Jayne Houdyshell,Chris Messina,Jeffrey Ware,Martin Zentz
tt0348505,Natasha Richardson,Sean Harris,Marton Csokas,Ian McKellen,Hugh Bonneville,Gus Lewis,Joss Ackland,Wanda Ventham,Sarah Thurstan,Alwyne Taylor
tt0350261,Jennifer Lopez,Robert Redford,Morgan Freeman,Josh Lucas,Damian Lewis,Camryn Manheim,Becca Gardner,Lynda Boyd,Rob Hayter,P. Lynn Johnson
tt0350374,Carice van Houten,Dragan Bakema,Mohammed Chaara,Tamara Louw,Mercedes Lotero,Anna Sanchez Marques,Hector Porqueros,Maribel Moreno,Silvia Quedevo,Yolanda Carmone
tt0349878,Vinay Anand,Ila Arun,Pankaj Berry,Nicolas Chagrin,Nalini Chatterjee,Vikrant Chaturvedi,Pradeep Kumar Das,Abha Dhulia,Kelly Dorji,Divya Dutta
tt0352248,Russell Crowe,Renée Zellweger,Craig Bierko,Paul Giamatti,Paddy Considine,Bruce McGill,David Huband,Connor Price,Ariel Waller,Patrick Louis
tt0351885,Giuseppe Andrews,Keith Brunsmann,Eva Fisher,Demetrius Navarro,Elizabeth Bogush,Samy Langs,Luis Saguar,Mira Larkin,Nick Scoggin,Salim Cain
tt0353008,Reed Frerichs,Bruce Glover,John David Hartfield,Nicholas Guilak,Virtic Brown,Robert Pike Daniel,Tricia Donohue,Rufus Dorsey,Rebecca Husain,Paul McKinney
tt0354034,Amanda Hansen,Jakob Cedergren,Charlotte Munck,Anders Lund Madsen,Jens Okking,Elsebeth Steentoft,Mads Koudal,Lise Stegger,Kim Sønderholm,Nikolaj Gregersen
tt0355702,Heath Ledger,Emile Hirsch,Victor Rasuk,Johnny Knoxville,John Robinson,Rebecca De Mornay,William Mapother,Julio Oscar Mechoso,Nikki Reed,Vincent Laresca
tt0354595,Wes Bentley,Gerard Butler,Gavin Rossdale,Jay Rodan,Costas Mandylor,Louis Mandylor,Zachery Ty Bryan,Jimmy Jean-Louis,Richard Jenik,Nelson Vargas
tt0355563,Samuel Johnson,Colin Friels,Jessica Napier,Sacha Horler,Kestie Morassi,Brian Meegan,Paul Sonkkila,Sarah Pierse,Jason Gann,William Zappa
tt0357110,Daniel Day-Lewis,Catherine Keener,Camilla Belle,Ryan McDonald,Paul Dano,Jason Lee,Jena Malone,Beau Bridges,Susanna Thompson,
tt0357005,Lola Berthet,Javier van de Couter,Lucrecia Blanco,Guillermo Pfening,Paulina Rachid,,,,,
tt0356680,Dermot Mulroney,Sarah Jessica Parker,Claire Danes,Diane Keaton,Rachel McAdams,Craig T. Nelson,Luke Wilson,Tyrone Giordano,Brian White,Elizabeth Reaser
tt0357507,Barry Watson,Emily Deschanel,Lucy Lawless,Skye McCole Bartusiak,Tory Mussett,Andrew Glover,Charles Mesure,Philip Gordon,Aaron Murphy,Jennifer Rucker
tt0356747,Mauricio Dayub,Paula Siero,Carlos Resta,Gerardo Dayub,,,,,,
