tt0118141,Michael Blevis,Carlos Richardson,Lisa Fusco,Steven C. Stewart,Crispin Glover,John Insinna,Kelly Swiderski,Robin Adams,Adam Parfrey,Rikky Wittman
tt0400201,Anne Birgitte Lind,Jakob Cedergren,Rebecca Løgstrup,Dejan Cukic,Andrea Vagn Jensen,Lykke Sand,Zlatko Buric,Thure Lindhardt,Jens Okking,Morten Suurballe
tt0399048,Xun Zhou,Zhiwen Wang,Xue Ju,Lisa Lu,Chang Shen,Jianjun Wang,Vivian Wu,Lixin Yang,,
tt0399862,Louie Leonardo,Chad Allen,Jack Guzman,Christina Souza,Chase Ellison,Chemo Mepaquito,Ninabet Bedoya,Sara Kathryn Bakker,Cara Stoner,Beth Bailey
tt0399222,Jean-Paul Rouve,Gérard Depardieu,Annie Girardot,Lionel Abelanski,Isabelle Renauld,Yves Jacques,Élisabeth Vitali,Xavier de Guillebon,Valérie Benguigui,Mar Sodupe
tt0399295,Nicolas Cage,Ethan Hawke,Jared Leto,Bridget Moynahan,Shake Tukhmanyan,Jean-Pierre Nshanian,Jared Burke,Eric Uys,David Shumbris,Stewart Morgan
tt0399146,Viggo Mortensen,Maria Bello,Ed Harris,William Hurt,Ashton Holmes,Peter MacNeill,Stephen McHattie,Greg Bryk,Kyle Schmid,Sumela Kay
tt0400525,John Cusack,Billy Bob Thornton,Connie Nielsen,Lara Phillips,Bill Noble,Brad Smith,Ned Bellamy,Mike Starr,T.J. Jagodowski,Meghan Maureen McDonough
tt0400237,Antoine Monot Jr.,Dominique Horwitz,Beate Bille,Joost Siedhoff,Hanna Schygulla,Erich Krieg,Ketel Weber,Yupp Regeler,Sebastian Schipper,Axel Olsson
tt0400598,Joep Truijen,Neeltje de Vree,Loes Luca,Carice van Houten,Barry Atsma,Kees Hulst,Ad Knippels,Mara van Vlijmen,Babbe Groenhagen,Bente Jonker
tt0400186,Dileep,Gopika,Indrajith Sukumaran,Rajan P. Dev,Biju Menon,Bhavana,Lal,Shobha Mohan,Mala Aravindan,Salim Kumar
tt0401591,Danny Aiello,Jane Curtin,Daniel Sauli,Marisa Ryan,Heather Burns,Ian Kahn,Olivia Archer,Rick Aiello,Moises Belizario,Frank Bongiorno
tt0401420,Diane Lane,Donald Sutherland,Anton Yelchin,Chris Evans,Kristen Stewart,Paz de la Huerta,Blu Mankuma,Elizabeth Perkins,Christopher Shyer,Garry Chalk
tt0401815,Jenna Dewan,Katie Stuart,Chad Faust,Bryan Clark,Melissa Marie Elias,Gil Hacohen,Marc Devigne,Matthew Marsden,Claudette Mink,Chris Sigurdson
tt0401808,Joan Chen,Zhang Fan,Ge Gao,Bin Li,Jing Liang,Zifeng Liu,Haiying Sun,Haidi Wang,Hong Yihao,
tt0401085,Michel Côté,Marc-André Grondin,Danielle Proulx,Émile Vallée,Pierre-Luc Brillant,Maxime Tremblay,Alex Gravel,Natasha Thompson,Johanne Lebrun,Mariloup Wolfe
tt0401385,Peter Paige,Kathy Najimy,Anthony Clark,Melanie Lynskey,Gabrielle Union,Lisa Edelstein,Jim Ortlieb,Katie O'Grady,Ayanna Berkshire,Don Adler
tt0402057,Hringur Ingvarsson,Spencer Wilding,Stellan Skarsgård,Ingvar Sigurdsson,Gunnar Eyjólfsson,Gerard Butler,Philip Whitchurch,Ronan Vibert,Rory McCann,Tony Curran
tt0402102,Dida Diafat,Bernard Giraudeau,Florence Faivre,Lakshantha Abenayake,Sombat Metanee,Rith Luecha,Jean-Pierre Léonardini,Fariza Mimoun,Calbo,Jean Miez
tt0402850,Robin Williams,Giovanni Ribisi,Holly Hunter,Tim Blake Nelson,W. Earl Brown,Woody Harrelson,Alison Lohman,Billy Merasty,Marina Stephenson Kerr,Ralph Alderman
tt0402158,Jean Reno,Arly Jover,Jocelyn Quivrin,Laura Morante,Philippe Bas,David Kammenos,Didier Sauvegrain,Patrick Floersheim,Etienne Chicot,Albert Dray
tt0401559,Maximilian Artajo,Céline Vogt,Leander Wolf,Anke Engelke,Dirk Bach,Joy Gruttmann,Atze Schröder,Oliver Kalkofe,Bastian Pastewka,Ralf Schmitz
tt0402230,Maggie Gyllenhaal,Seth Gilliam,Jim Parsons,Martha Millan,Will Arnett,Nancy McDoniel,Fred Burrell,Jillian Crane,Mario Polit,Tony Kushner
tt0402064,Emily Brooke Hands,Jimmy Wayne Farley,Dikla Marshall,George Garritano,Lucia Sullivan,Nino Cirabisi,Monte Vallier,,,
tt0402710,Simon Dahl Thaulow,Peter Steen,Stine Fischer Christensen,Annemarie Malle Klixbüll,Søren Bertelsen,Søren Frank,Niels Hinrichsen,Tuva Novotny,Steen Stig Lommer,Peter Hesse Overgaard
tt0402808,Brooke Adams,Michael Arata,Barbara Balentine,Siri Baruc,Rachael Bean,James Bearb,Troi Bechet,Alex Beck,Tony Bentley,Will Cart
tt0402399,Colin Farrell,Q'orianka Kilcher,Christopher Plummer,Christian Bale,August Schellenberg,Wes Studi,David Thewlis,Yorick van Wageningen,Raoul Max Trujillo,Michael Greyeyes
tt0402894,Heath Ledger,Sienna Miller,Jeremy Irons,Oliver Platt,Lena Olin,Omid Djalili,Stephen Greif,Ken Stott,Helen McCrory,Leigh Lawson
tt0403016,Steve Howey,Mike Vogel,Sophia Bush,Cameron Richardson,Aaron Carter,Channing Tatum,Robert Patrick,Robert Carradine,Carolina Garcia,Ryan Locke
tt0402910,Jason Statham,Ryan Phillippe,Wesley Snipes,Henry Czerny,Justine Waddell,Nicholas Lea,Jessica Steen,Rob LaBelle,John Cassini,Damon Johnson
tt0403217,Michael Pitt,Lukas Haas,Asia Argento,Scott Patrick Green,Nicole Vicius,Ricky Jay,Ryan Orion,Harmony Korine,Rodrigo Lopresti,Kim Gordon
tt0404535,Pascal Elbé,Simon Abkarian,Isaac Sharry,Linh-Dan Pham,Teng Fei Xiang,Yun Hong Perrotin,Liney Zhao,Astrid Condis,Guillaume Gouix,Richard Taxy
tt0403537,Beanie Sigel,N.O.R.E.,Damon Dash,Michael Bentt,Omillio Sparks,Oschino,Freeway,Hanif 'Neef' Muhammed,Christopher Ries,Cam'ron
tt0403508,Amber Tamblyn,Alexis Bledel,America Ferrera,Blake Lively,Jenna Boyd,Bradley Whitford,Nancy Travis,Rachel Ticotin,Mike Vogel,Michael Rady
tt0405157,Salvador Pineda,Francisco Gattorno,Alpha Acosta,Siboney Lo,Gabriel Traversari,North Roberts,Lauro López,Rachelle Naveira,Emanuel Gironi,Felipe Camacho
tt0404802,Gretchen Mol,Lili Taylor,Chris Bauer,Jared Harris,Sarah Paulson,Cara Seymour,David Strathairn,John Cullum,Matt McGrath,Austin Pendleton
tt0403522,Nikolaj Lie Kaas,Birthe Neumann,Thomas Bo Larsen,Niels Olsen,Peter Gantzler,Mira Wanting,Lotte Andersen,Kirsten Lehfeldt,Jens Okking,Ole Thestrup
tt0404850,,,,,,,,,,
tt0403360,Signe Egholm Olsen,Claus Riis Østergaard,Thure Lindhardt,Farshad Kholghi,Thomas L. Corneliussen,Pernille Vallentin,Signe Vaupel,Rudi Køhnke,Maria Stenz,Finn Storgaard
tt0403455,Shad Moss,Nick Cannon,Meagan Good,Brandon T. Jackson,Chi McBride,Marcus T. Paulk,Rick Gonzalez,Khleo Thomas,Busisiwe Irvin,Jurnee Smollett
tt0403848,James Franco,Brian Lally,Allison Bibicoff,Stacey Miller,Vince Jolivette,Nori Jill Phillips,Danny Molina,David Markey,Sydney DeMarco,Anthony W. Preston
tt0404030,Elijah Wood,Eugene Hutz,Boris Lyoskin,Jonathan Safran Foer,Jana Hrabetova,Stephen Samudovsky,Ljubomir Dezera,Oleksandr Choroshko,Gil Kazimirov,Zuzana Hodkova
tt0404032,Laura Linney,Tom Wilkinson,Shohreh Aghdashloo,Campbell Scott,Jennifer Carpenter,Colm Feore,Joshua Close,Kenneth Welsh,Duncan Fraser,JR Bourne
tt0403933,Michael Madsen,Corey Large,Shannyn Sossamon,Meat Loaf,Gary Busey,Sean Whalen,Lochlyn Munro,Tom Wright,Michael Rooker,Danny Trejo
tt0405281,Ulises Dumont,Alicia Zanca,Mauricio Dayub,Isaac Haimovici,Mirna Suárez,Igón Lerchundi,Oscar Montalto,Nahuel D'Onofrio,Oscar Frontini,Claudio Martínez Bel
tt0406194,Michal Dlouhý,Jan Dolanský,Richard Krajco,Alice Bendová,Lucie Benesová,Dusan Urban,Pavel Reznícek,Lubos Veselý,Jan Vondrácek,Dusan Skubal
tt0404003,Manlio Dovì,Sabrina Colle,Ivan Bekjarev,Vincenzo Bocciarelli,Milan Bosiljcic,Francesca Della Ragione,Milorad Kapor,Federica Palmer,Luka Piljagic,Aleksandra Por
tt0406097,Gregory Smith,Jordana Brewster,Ashley Johnson,David Moscow,Chad Faust,Brian Doyle-Murray,Logan Bartholomew,David Morse,Shannon Day,Amy Main
tt0406038,Kip Pardue,Michael Kelly,Tess Harper,Adrian Lee,Tammy Arnold,Chris Sarandon,Bonnie Hunt,Michael Esper,Bill Ladd,Trevor Gagnon
tt0405861,Christian Slater,Selma Blair,Robert Loggia,Colm Feore,Angie Harmon,John Heard,Kevin Tighe,Philip Granger,Françoise Yip,Jim Thorburn
tt0405743,Til Schweiger,Johanna Wokalek,Nadja Tiller,Michael Mendl,Steffen Wink,Alexandra Neldel,Imogen Kogge,Paula Paul,Eric Judor,Mark Keller
tt0406098,Tatiana Dyková,Pavel Liska,Anna Geislerová,Marek Daniel,Zuzana Krónerová,Simona Stasová,Bolek Polívka,Martin Huba,Anna Kocisová,David Dolnik
tt0406158,Julianne Moore,Woody Harrelson,Laura Dern,Trevor Morgan,Ellary Porterfield,Simon Reynolds,Monté Gagné,Robert Clark,Michael Seater,Erik Knudsen
tt0406359,Edoardo Ballerini,Fairuza Balk,Rachel Binder,Andrew Buckley,Dagmar Edwards,Paula Ficara,Sean Gullette,Dexter Hamlett,John Ireland,Joshua Leonard
tt0406650,Jamie Bell,Allison Janney,Rory Culkin,Glenn Close,Camilla Belle,Justin Chatwin,Kathi Copeland,Thomas Curtis,Tim DeKay,David Ellison
tt0406711,Lazar Ristovski,Tatjana Sojic,Miralem Zupcevic,Nada Djurevska,Uliks Fehmiu,Tarik Filipovic,Irena Micijevic,Admir Glamocak,Emir Hadzihafizbegovic,Boro Stjepanovic
tt0406941,Kôji Yakusho,Satoshi Tsumabuki,Toshirô Yanagiba,Yû Kashii,Shin'ichi Tsutsumi,Ken Ishiguro,Colter Allison,David Austin,Nicholas Dombrovskis,Christopher Ryan Doyle
tt0407214,Jesús Ochoa,Eduardo Santamarina,Marco Pérez,Andrés Montiel,Bernardo de la Fuente,Antonio Arizpe,Maru Haro,Alejandra Mena,Rodolfo Nevarez,
tt0407265,Felicity Huffman,Kevin Zegers,Fionnula Flanagan,Andrea James,Danny Burstein,Maurice Orozco,Elizabeth Peña,Craig Bockhorn,Paul Borghese,Jon Budinoff
tt0407230,Jean-Nicolas Verreault,Anick Lemay,Gilles Renaud,François Chénier,Catherine Trudeau,Germain Houde,Pierre Collin,Pierrette Robitaille,Patrice Robitaille,Hugolin Chevrette-Landesque
tt0406914,Václav Jirácek,Radoslav Brzobohatý,Vilma Cibulková,Anna Cónová,Ester Geislerová,Martin Huba,Vladimír Dlouhý,Ondrej Vetchý,Igor Bares,Jirí Lábus
tt0407236,Jan Tríska,Pavel Liska,Anna Geislerová,Martin Huba,Jaroslav Dusek,Pavel Nový,Stano Danciak,Jirí Krytinár,Katerina Ruzicková,Iva Littmanová
tt0407095,Allison Janney,Keith Carradine,Cheryl Hines,Beth Grant,Jason Ritter,Hilarie Burton,Faith Prince,Mary Badham,Autumn Reeser,Derek Carter
tt0407205,Elizabeth Banks,Maria Bello,Erika Christensen,Steven Culp,Tony Goldwyn,Mary Stuart Masterson,Eric McCormack,Alessandro Nivola,Chris O'Donnell,Rip Torn
tt0408162,Karl Geary,Stephanie Szostak,Larry Fessenden,Neil Jain,Pell James,Randall Jaynes,Christina Kirk,Jessica Lawson,Joe Martine,Lawrence Scaduto
tt0408120,Ivan Trojan,Zuzana Sulajová,Zuzana Stivínová,Miroslav Krobot,Nina Divísková,Karel Hermánek,Petra Lustigová,Jirí Bartoska,Zuzana Bydzovská,Jana Hubinská
tt0408318,Jakob Cedergren,Nicolas Bro,Tilly Scott Pedersen,Morten Suurballe,Bodil Jørgensen,Nicolaj Kopernikus,Anders Hove,Kristian Halken,Thomas W. Gabrielsson,Michelle Bjørn-Andersen
tt0408133,Stefano Dionisi,Violante Placido,Nicola Farron,Ernesto Mahieux,Maurizio Mattioli,Guia Jelo,Pino Ferrara,Laura Troschel,Pier Luigi Misasi,Barbara Terrinoni
tt0407998,Aishwarya Rai Bachchan,Dylan McDermott,Nitin Ganatra,Adewale Akinnuoye-Agbaje,Caroline Chikezie,Anupam Kher,Shaheen Khan,Sonny Gill,Nina Young,Toby Marlow
tt0408306,Eric Bana,Daniel Craig,Marie-Josée Croze,Ciarán Hinds,Mathieu Kassovitz,Hanns Zischler,Ayelet Zurer,Geoffrey Rush,Gila Almagor,Michael Lonsdale
tt0408302,Jesse Rinsma,Tom van Kessel,Carice van Houten,Frieda Pittoors,Daan Schuurmans,Leny Breederveld,Edo Brunner,Judith Bovenberg,Eva van der Gucht,Luk D'Heu
tt0409678,Marie Raynal,Lyès Salem,Adrien Ruiz,Eric Savin,Liliane Rovère,Caroline Baehr,Gérard Meylan,Jocelyne Desverchère,Yves Michel,Eric Pasturel
tt0408852,Jeffrey M. Bell,Alex Alamul,Rich Amooi,Myers Clark,Yvonne Cornell,Shawn Flanagan,Dylan Free,Larissa Kasian,Larry Laverty,Eleese Longino
tt0408790,Jodie Foster,Peter Sarsgaard,Sean Bean,Kate Beahan,Michael Irby,Assaf Cohen,Erika Christensen,Shane Edelman,Mary Gallagher,Haley Ramm
tt0409838,Jordan-Claire Green,Macey Cruthird,Kris Crevani,Will Denton,Jimmy Walsh,Lea Thompson,Thomas Gibson,Paul Dooley,Martin Mull,Doug McKeon
tt0409081,Kal Aise,Terry Bird,John Campbell-Mac,Keith Chanter,Melissa De Mol,Steve Gibbs,Elliott Jordan,David Lelean,Paul McNeilly,Jamie Palmer
tt0409184,Romain Duris,Kelly Reilly,Audrey Tautou,Cécile de France,Kevin Bishop,Evguenya Obraztsova,Irene Montalà,Gary Love,Lucy Gordon,Aïssa Maïga
tt0410162,Gary Stretch,John Rhys-Davies,Cindy Sirinya Bishop,Yoe Hassadeevichit,Dom Hetrakul,Nirut Sirichanya,Akara Amarttayakul,Mark Sobels,Oliver Poupart,Ammara Assawanon
tt0409527,Sanjay Dutt,Aishwarya Rai Bachchan,Zayed Khan,Aakash Pandey,Sadiya Siddiqui,Susheel Chabra,Imran Hasnee,Brijendra Kala,Kamini Khanna,Lou Lou
tt0410381,Jan Cornet,María Vázquez,Pablo Rivero,Icíar Bollaín,Joan Dalmau,Luis Tosar,José Ángel Egido,Antonio de la Torre,Félix Cubero,Elisabet Gelabert
tt0409034,Robert Carlyle,Marisa Tomei,Mary Steenburgen,John Goodman,Elden Henson,Sean Astin,Teresa Johnston,Kelley Parker,Michael Bower,Chance Michael Corbitt
tt0410516,Jessica Jimerson,David Ramsey,Kenya Moore,Sara Stokes,Ron Finberg,Anika C. McFall,Annette Jimerson,Black Prince,Nicolas Blanchard,Charles Durning
tt0410275,Nadine Birkmeyer,Heather J. Braden,Josh Gibson,Lorraine Lockwood,Carrena Lukas,,,,,
tt0410445,Olivier Gourmet,Marie-Josée Croze,Bertille Noël-Bruneau,Marisa Borini,Yves Jacques,Elisabeth Macocco,Claude Koener,Marie-Claude Vermorel,Jean-Michel Noirey,Lison Riess
tt0410400,Peter Mullan,Brenda Blethyn,Billy Boyd,Sean McGinley,Jamie Sives,Ron Cook,Jodhi May,Benedict Wong,Anne Marie Timoney,Shaun Dingwall
tt0410410,Mila Dekker,Aurélia Petit,Malik Zidi,Luc Leclerc du Sablon,Christine Dory,Guilaine Londez,Pierre Hiessler,Laurence Côte,Éléonore Michelin,Aurélie Léon
tt0410097,Terrence Howard,Ludacris,Anthony Anderson,Taryn Manning,Taraji P. Henson,DJ Qualls,Paula Jai Parker,Elise Neal,Isaac Hayes,Juicy J
tt0412019,Bill Murray,Jessica Lange,Sharon Stone,Julie Delpy,Heather Simms,Brea Frazier,Jarry Fall,Korka Fall,Saul Holland,Zakira Holland
tt0410320,Ken Stott,Tyrone McKenna,Gillian Anderson,Richard Dormer,Sean McGinley,Robert Carlyle,Kevin Elliott,Bernard Manning,Simon Delaney,Mark McCavanagh
tt0411267,Sean Bean,Maria Bello,Sophie Stuckey,Abigail Stone,Maurice Roëves,Richard Elfyn,Casper Harvey,Eluned Jones,Gwenyth Petty,Robin Griffith
tt0410764,Jeff Bridges,Jennifer Tilly,Jodelle Ferland,Janet McTeer,Brendan Fletcher,Dylan Taylor,Wendy Anderson,Sally Crooks,Alden Adair,Mitch Cullin
tt0410316,Nicolás Saavedra,Erto Pantoja,Miguel Dedovich,Jorge Román,Felipe Braun,Fernanda Urrejola,Pablo Valledor,Víctor Montero,Juan Pablo Miranda,Andrés Olea
tt0410806,Gaetano Aronica,Luigi Maria Burruano,Renato Carpentieri,Romina Caruana,David Coco,Roberto Davide,Giacinto Ferro,Nino Frassica,Donatella Furino,Robert Hundar
tt0410626,David Arquette,Thora Birch,Balthazar Getty,Julianna Margulies,Joely Fisher,Michael Janik,Svetlana Metkina,Lillo Brancato,Katie Chonacas,Sara Colton
tt0411098,Adama Bila,Elysée Rouamba,Rodrigue Ouattara,Uros Milovanovic,Dragan Zurovac,Vladan Milojevic,Goran R. Vracar,Mihona Vasic,Dusan Krivec,Hannah Hodson
tt0411168,Stephen Cinabro,Maggie McLaughlin,Otis Fine,Mark Sutton,Ritchie Franco,Ellen Fox,Nicole Walker,Joe Bill,Julia Neary,Frank Gangarossa
tt0411195,Cillian Murphy,Morgan Jones,Eva Birthistle,Liam Neeson,Mary Coughlan,Conor McEvoy,Ruth McCabe,Charlene McKenna,Seamus Reilly,Peter Owens
tt0412308,Naseeruddin Shah,Dimple Kapadia,Saif Ali Khan,Boman Irani,Simone Singh,Honey Chhaya,Manoj Pahwa,Delna Patel,Ravi Khote,Carol Gracias
tt0412080,Anthony Hopkins,Diane Ladd,Iain Rea,Tessa Mitchell,Aaron Murphy,Tim Shadbolt,Annie Whittle,Greg Johnson,Antony Starr,Kate Sullivan
tt0411242,Lurdes Barba,Cristina Brondo,Lidia Catalano,Lucas Ferraro,Pepe Novoa,Atilio Pozzobón,Lluís Soler,Manuel Vignau,Josefina Vitón,Luis Ziembrowski
tt0411117,Olga Kurylenko,Marc Barbé,Stipe Erceg,Edith Scob,Hanns Zischler,Sotigui Kouyaté,Doria Achour,Anne Benoît,Louis Dewynter,Geneviève Lagardère
tt0411270,Romain Duris,Aure Atika,Emmanuelle Devos,Niels Arestrup,Jonathan Zaccaï,Gilles Cohen,Linh-Dan Pham,Anton Yakovlev,Mélanie Laurent,Agnès Aubé
tt0411118,Yvan Attal,Sophie Marceau,Sami Frey,Gilles Lellouche,Daniel Olbrychski,Samir Guesmi,Dimitri Rataud,Nicky Marbot,Olivier Chenevat,Alban Casterman
tt0412044,Michael Urie,Jeremy Beazlie,Lucas Papaelias,Elizabeth Kapplow,Michael Linstroth,Nick Potenzieri,Jay Gillespie,Stephen Sporer,Jeff Wenger,Bob Williams
tt0412639,Emily Hirst,Helene Joy,Ian Tracey,Lothaire Bluteau,Glynis Davies,Jennifer Beals,Ed Begley Jr.,Ginger Page,Susan Bain,Layne Black
tt0413015,Judi Dench,Bob Hoskins,Christopher Guest,Will Young,Kelly Reilly,Thelma Barlow,Anna Brewster,Rosalind Halstead,Sarah Solemani,Natalia Tena
tt0412843,Corinna Harfouch,Bolek Polívka,Petr Forman,Ondrej Vetchý,Anna Polívková,Tána Fischerová,Adrian Jastraban,Eva Maria Bayerwaltes,Manfred Erdmann,Libuse Geprtová
tt0413078,Aurélien Recoing,Elina Löwensohn,Héctor Guido,Rosa Simonelli,Ernesto Liotti,Eduardo Amaro,Jorge Bolani,William Triest,Ximena Decuadro,Juan Calvo
tt0414344,Ayad Akhtar,Firdous Bamji,Nandana Sen,Sarita Choudhury,Charles Daniel Sandoval,Varun Sriram,Anjeli Chapman,John Ventimiglia,Michael McGlone,Aasif Mandvi
tt0414675,Ross Thomas,Wyatt Denny,David Fine,Justin Gordon,Kareem J. Grimes,Damon P. Harris,Christopher Hayes IV,Nora Kirkpatrick,Larry Laverty,Marilyn McIntyre
tt0414135,Juci Balog,Juci Barabás,László Beles,Lajos Bertók,Istvánné Burga,István Csala,Sándor Csányi,Ferencné Császár,Rozál Csótár,Elemér Czifra
tt0414387,Keira Knightley,Matthew Macfadyen,Brenda Blethyn,Donald Sutherland,Talulah Riley,Rosamund Pike,Jena Malone,Carey Mulligan,Claudie Blakley,Sylvester Morand
tt0415022,Bibiana Beglau,Golo Euler,Steffi Kühnert,Hartmut Lange,Ursina Lardi,Hannes Lensing,Julia Stabenow,Raphael Westermeier,,
tt0414142,György Cserhalmi,Blanka Szilasi,Lajos Bertók,Dénes Ujlaky,György Gazsó,Eszter Csákányi,Tibor Szabó,Sándor Csányi,Péter Rudolf,Anna Györgyi
tt0413358,Mahendra Perera,Hemasiri Liyanage,Nilupili Jayawardena,Kaushalaya Fernando,Pumudika Sapurni Peiris,Saumya Liyanage,,,,
tt0415877,Nick Daley,Chris Heuisler,Kimberly McCullough,Brad Raider,Kevin Durand,Nan Martin,M. Emmet Walsh,Michael Hitchcock,Curtis Armstrong,Beth Kennedy
tt0415978,John Hawkes,Miranda July,Miles Thompson,Brandon Ratcliff,Carlie Westerman,Hector Elias,Brad William Henke,Natasha Slayton,Najarra Townsend,Tracy Wright
tt0415607,Parviz Parastui,Roya Teymourian,Soghra Obeisi,Mohammad Amir Naji,Melika Eslafi,Leila Otadi,Mahmoud Behraznia,Dawlat Asadi,Melika Aslafi,Ahmad Gavaheri
tt0415651,Brenna Radding,Ashely Smith,Caleigh White,Ali Costello,Matt Marraccini,Merilee Brasch,Yvonne Maverick,Michael Blain-Rozgay,Kirk Bovill,Tim Cowgill
tt0413172,Nick Moran,Georgina Rylance,David Soul,Ralph Brown,Pete Hodge,Peter Sullivan,Paul Bigley,Hannah Watkins,John Webber,Kirsty Dillon
tt0414195,Bjarne Henriksen,Vivian Wu,Lin Kun Wu,Paw Henriksen,Charlotte Fich,Chapper Kim,Laura Bro,Peder Thomas Pedersen,Thomas Gammeltoft,Mathias Sparre-Ulrich
tt0413509,Nathalie Boutefeu,Marc Citti,Judith Rémy,Lars Rudolph,Olivier Rabourdin,Paulette Dubost,Eric Bonicatto,Grégory Gadebois,Galatéa Bellugi,Benjamin Egner
tt0414796,Marit Andreassen,Bernhard Arnø,Anders Baasmo,Dagny Rieber Borgnes,Kåre Conradi,Signe Dahl,Ulrikke Hansen Døvigen,Emilie Falch,Hedda Bjordal Foss,Monica Hjelle
tt0416041,Barry Corbin,Sam Huntington,Caroline Goodall,Charles Robinson,Amanda Brooks,Greg Evigan,Clint Howard,Gregory Siff,Charles Durning,William Katt
tt0415768,Sanjay Dutt,Suniel Shetty,Abhishek Bachchan,Zayed Khan,Shilpa Shetty Kundra,Esha Deol,Pankaj Kapur,Dia Mirza,Raima Sen,Gulshan Grover
tt0413422,Steve Harris,Gale Harold,Phillip Bloch,Catherine Dent,Michelle Clunie,Judah Friedlander,Shirley Caesar,Daisy McCrackin,Sandra Benton,Adam Boyer
tt0414200,Jeroen Krabbé,Jan Decleir,Astrid Joosten,Theu Boermans,Marjon Brandsma,Aat Ceelen,Chris Comvalius,Gijs de Lange,Sjoerd Dragtsma,Turan Furat
tt0415023,Annika Hallin,Kristoffer Joner,Fridtjov Såheim,Göran Ragnerstam,Linn Skåber,Axel Zuber,Jade Francis Haj,Michalis Koutsogiannakis,Mina Azarian,Trine Wiggen
tt0413466,Jonathan Velasquez,Francisco Pedrasa,Milton Velasquez,Usvaldo Panameno,Eddie Velasquez,Luis Rojas-Salgado,Carlos Ramirez,Iris Zelaya,Ashley Maldonado,Laura Cellner
tt0415678,Denis Nikiforov,Elena Panova,Andrey Panin,Ivan Makarevich,Dmitriy Shevchenko,Sergey Bezrukov,John Amos,Aleksandr Kuznetsov,Pavel Derevyanko,Maksim Litovchenko
tt0416101,Fernando Fernán Gómez,Emma Vilarasau,Marta Etura,Roger Coma,Víctor Mosqueira,Mónica García,Marisa de Leza,Joaquín Hinojosa,Ana Cuerdo,Manuel Feijóo
tt0416119,Evgeniy Mironov,Aleksey Serebryakov,Andrey Smolyakov,Sergey Astakhov,Viktoriya Tolstoganova,Lyubov Tolkalina,Natalya Arinbasarova,Yury Belyayev,Sergey Gabrielyan,Kseniya Lavrova-Glinka
tt0414713,Konkona Sen Sharma,Yashpal Sharma,Brinda Karat,Ankur Khanna,Chaiti Ghosh,Aparna Roy,Ashish Ghosh,Ruma Ghosh,Loveleen Mishra,Brajesh Mishra
tt0414845,Alin Panc,Olimpia Olari,Nicoleta Luciu,Diana Munteanu,Cristian Motiu,Andreea Doinea,Florian Ghimpu,,,
tt0414951,Camilla Belle,Elisha Cuthbert,Edie Falco,Martin Donovan,Shawn Ashmore,Katy Mixon,David Gallagher,Shannon Woodward,Mj Vandivier,Jo Baker
tt0415147,Morjana Alaoui,Matthieu Boujenah,Razika Simozrag,Fatym Layachi,Assaad Bouab,Rachid Benhaissan,Khalid Maadour,Michael Souda,Rachid Benassain,Jérôme Azogui
tt0415143,Graham Beckel,Jason Behr,James C. Burns,Johnny Dowers,Autumn Federici,Omar Benson Miller,Rachel Miner,Nikki Reed,Steffanie Sampson,Susan Traylor
tt0416320,Scarlett Johansson,Jonathan Rhys Meyers,Emily Mortimer,Matthew Goode,Alexander Armstrong,Paul Kaye,Brian Cox,Penelope Wilton,Janis Kelly,Alan Oke
tt0415932,Laurent Lucas,Charlotte Gainsbourg,Charlotte Rampling,André Dussollier,Jacques Bonnaffé,Véronique Affholder,Michel Cassagne,Florence Desille,Emmanuel Gayet,Félix Gonzales
tt0416471,Marcia Gay Harden,Forest Whitaker,Donald Sutherland,Linda Cardellini,Lisa Long,Chris Warren,David Heymann,Christopher Marquette,Amanda Seyfried,Nikki Reed
tt0415833,Seth Peterson,Bruce Davison,Chad Donella,Cindy Pickett,Brian J. Smith,Susan Blakely,Lin Shaye,Farah White,Giancarlo Esposito,Sean Hennigan
tt0415234,Tzi Ma,Jacqueline Kim,Elaine Kao,Freda Foh Shen,Kathy Shao-Lin Lee,Mia Riverton,Jayce Bartok,Rossif Sutherland,Sebastian Stan,Stephen Rowe
tt0416658,Reiko Aylesworth,Bruno Campos,JoBeth Williams,Meat Loaf,Marla Sokoloff,Greg Germann,David Alan Basche,Lizette Carrion,Paul Schulze,Michael Hyatt
tt0416778,Joel Bischoff,Frances Bockenfeld,Archie Bryan,Lauren Bryan,Susan Burke,Laurent de la Cruz,Todd Eckert,Pat Everett,Irene Hsaio,Pat James
tt0416688,Marshall Allman,Haylie Duff,Luke Perry,Ryan Sheckler,Tony Alva,Art Alexakis,Jane Brucker,John Cantwell,Francis Capra,Michael Copon
tt0417077,Robert Merrill,Alison Eastwood,Nolan Flannery,Colby French,Matt Fry,Rachel Gibbs,Vanessa Query,Bonnie Root,Gary Warden,James Wlcek
tt0417096,Cyndi Williams,Kenneth Wayne Bradley,Alex Kiester,Hannah Nicolas,Jacqui Cross,Marco Perella,Gretchen Krich,Shanon Weaver,Jessica Hedrick,Suzanne Savoy
tt0417479,Emmanuel Salinger,Ilona Del Marle,Nathalie Richard,Claude Perron,Saskia Mulder,Bruno Putzulu,Frédéric Dussenne,Manuel Morón,Manuela Sanchez,Carlo Brandt
