tt0211344,Claude Berri,Fanny Ardant,Claude Brasseur,Alain Chabat,Danièle Lebrun,Véronique Vella,Brigitte Bémol,François Berléand,Olga Grumberg,Myriam Mézières
tt0211360,Dean Stapleton,Tiffany Hecht,Lisa Reissman,Samuel Bliss Cooper,Gabriel Jarret,Bob Greene,Jacquie Barnbrook,Marty Yost,Ian Lithgow,Chantel Rae
tt0213121,Liane Balaban,Tara Spencer-Nairn,Mary Walsh,Nicholas Campbell,Cathy Moriarty,Andrew McCarthy,Darren Keay,Kevin Curran,Krista MacDonald,Cassie MacDonald
tt0211445,Romain Duris,Rona Hartner,Ouassini Embarek,Christine Pignet,Marc Nouyrigat,Muse Dalbray,Suzanne Flon,Daniel Laloux,Max Morel,Tony Librizzi
tt0211619,Raimundo Amador,Karmele Aranburu,Paloma Arimón,Marta Belenguer,Carla Calparsoro,Manolo Caro,Fernando Cayo,Alicia Cifredo,Pau Cólera,Rosa Estévez
tt0213664,Eva Vejmelková,Alessandro Coari,Ibrahim Maiga,Marián Labuda,Marilyn Ngondo,Bismilla Mdaka,Mosa Kaiser,Bliss Mjala,,
tt0212517,Kipp Marcus,Bernadette Peters,Alice Dylan,Larry Pine,Henry Simmons,Judith Malina,Miriam Shor,Michael Ornstein,Season Oglesby,Debra Sullivan
tt0214006,Thomas Graton,Yves Soutière,Philippe Lambert,Julien Poulin,Stéphane Vallières,Mireille Leveque,Melven Gilbert,Anastassia Fomina,,
tt0212233,Károly Eperjes,Róbert Koltai,Judit Pogány,Ági Szirtes,Péter Balázs,Sándor Gáspár,Péter Haumann,Kata Huszárik,Attila Árpa,Mónika Ullmann
tt0211954,Ken Peters,Josh Crompton,Tom Morrison,Matt Crompton,Jason Mewes,Kevin Smith,Matthew Banta,Tim Peer,Britton Ivey,Paul Vogt
tt0211934,Shah Rukh Khan,Twinkle Khanna,Amrish Puri,Johny Lever,Prem Chopra,Shashikala Jawalkar,Deepak Tijori,Sharat Saxena,Pankaj Dheer,Rakhee Gulzar
tt0212864,Stephen Chow,Nick Cheung,Sandra Kwan Yue Ng,Bing-Chuen Cheung,Tat-Ming Cheung,William Wai-Lun Duen,Suki Kwan,Siu-Kei Lee,Sammuel Leung,Kelly Lin
tt0213195,Daniel Guzmán,María Adánez,Enrique Simón,Paz Gómez,Tristán Ulloa,Trinidad Corredor,Concha Gómez Conde,Paco Racionero,,
tt0213686,Nele Mueller-Stöfen,Thure Riefenstein,Shaun Lawton,Felix Bresser,Elke Sommer,Tatjana Alexander,Birgit Bockmann,Sylvain Faÿsse,Bettina Zimmermann,
tt0213775,Amitabh Bachchan,Nana Patekar,Tabu,Jaya Prada,Mukul Dev,Ayesha Jhulka,Danny Denzongpa,Kabir Bedi,Mukesh Rishi,Jackie Shroff
