tt0151582,The Minus Man,"6,1",1999
tt0152836,Taal,"6,6",1999
tt0153031,This Space Between Us,"5,8",1999
tt0151738,Never Been Kissed,"6,0",1999
tt0152015,Pola X,"5,7",2000
tt0153032,This Year's Love,"6,3",1999
tt0153546,Straydogs,"4,8",1999
tt0154443,8 ½ Women,"5,6",2000
tt0154750,Kulkuri ja joutsen,"6,6",1999
tt0155722,Gloomy Sunday - Ein Lied von Liebe und Tod,"7,8",1999
tt0155711,Flawless,"6,4",2000
tt0155714,Forever Midnight,"5,4",1999
tt0155197,Speedway Junky,"6,0",1999
tt0155388,The Winslow Boy,"7,3",2000
tt0156546,Frontline,NO DATA,1999
tt0156038,Salkim Hanim'in Taneleri,"6,5",1999
tt0156017,Requiem für eine romantische Frau,"6,2",1999
tt0156096,Spring Forward,"7,5",1999
tt0155845,Magnetisøren's femte vinter,"6,4",1999
tt0155198,$pent,"4,5",1999
tt0156106,Stonebrook,"5,1",1999
tt0158369,Woman Wanted,"5,5",1999
tt0158117,La lettre,"6,2",2000
tt0156881,The Pawn,"4,0",1999
tt0157427,Lima: Breaking the Silence,"3,4",1999
tt0156934,Random Hearts,"5,3",1999
tt0156515,Entropy,"6,2",1999
tt0157075,The Suburbans,"4,2",1999
tt0156904,The Pornographer,"5,3",1999
tt0158717,Lapin kullan kimallus,"5,8",1999
tt0158671,In Her Defense,"5,3",1999
tt0158583,Deterrence,"6,4",2000
tt0158696,Kanárek,"5,6",1999
tt0159373,Cotton Mary,"5,2",1999
tt0158692,Juha,"6,8",2000
tt0159272,Beautiful People,"6,7",2000
tt0159542,Macbeth in Manhattan,"5,3",1999
tt0158371,Sweet and Lowdown,"7,2",2000
tt0159233,Abilene,"6,1",1999
tt0160016,Asunder,"5,1",1999
tt0160216,A Dog of Flanders,"6,2",1999
tt0159624,La paloma de Marsella,"6,4",1999
tt0160338,Guinevere,"5,9",2000
tt0159485,Häjyt,"7,1",1999
tt0159379,The Criminal,"5,5",2001
tt0159277,Bellyfruit,"4,8",1999
tt0160540,Money Buys Happiness,"5,9",1999
tt0159101,Out of the Cold,"5,2",2001
tt0160534,Milk,"5,7",2001
tt0160768,Rising to the Top,"6,8",1999
tt0158905,Under overfladen,"3,7",1999
tt0159097,The Virgin Suicides,"7,2",2000
tt0160401,In Too Deep,"6,2",1999
tt0160487,Love Goggles,"5,2",1999
tt0159415,Un dulce olor a muerte,"5,8",1999
tt0160672,Joe the King,"6,7",1999
tt0159780,Sweet Thing,"6,7",1999
tt0159703,Rikos & Rakkaus,"6,0",1999
tt0161219,Advice from a Caterpillar,"5,3",2009
tt0159958,An Amsterdam Tale,"4,3",1999
tt0160620,Oxygen,"6,0",1999
tt0160916,The Story of Us,"6,0",2000
tt0161100,The Wood,"7,0",1999
tt0160800,Running Home,"5,9",1999
tt0161010,The Trench,"5,9",1999
tt0161436,Chronika Shel Ahava,NO DATA,1999
tt0161542,Der Einstein des Sex,"6,2",2000
tt0161977,Simon Magus,"6,9",2000
tt0161292,Bleeder,"6,8",1999
tt0160229,Dreamers,"5,0",1999
tt0160509,Agnes Browne,"6,5",2001
tt0160518,Me and Will,"5,1",1999
tt0160481,The Long Road Home,"6,0",1999
tt0160513,A Map of the World,"6,5",2000
tt0159995,Angel's Dance,"6,1",1999
tt0160596,With or Without You,"6,1",1999
tt0161841,My Sweet Killer,"4,0",1999
tt0161935,Pünktchen und Anton,"7,0",1999
tt0161942,Revelation,"4,7",2000
tt0161023,Tumbleweeds,"6,7",2000
tt0162023,Tuvalu,"7,3",2000
tt0162236,Just Looking,"6,6",2003
tt0162903,Catfish in Black Bean Sauce,"6,6",2000
tt0162527,Pauls Reise,"6,0",1999
tt0162843,Ahava Mimabat Sheni,"7,2",1999
tt0162662,A Slipping-Down Life,"6,1",1999
tt0162625,Rukajärven tie,"6,7",1999
tt0161767,Love Lies Bleeding,"4,3",1999
tt0162677,Summer of Sam,"6,7",1999
tt0162420,Kesher Ir,"6,2",1999
tt0162909,Ha-Chaverim Shel Yana,"7,1",1999
tt0162830,Twin Falls Idaho,"7,1",2000
tt0163006,Captain Jack,"6,1",1999
tt0163180,Rembrandt,"6,2",1999
tt0163084,Mama,"6,5",1999
