tt0397436,Game Over,"2,9",2006
tt0397101,The Skeleton Key,"6,5",2005
tt0397857,A fény ösvényei,"7,1",2005
tt0398017,Derailed,"6,6",2005
tt0397582,Obaba,"6,4",2005
tt0398027,Down in the Valley,"6,4",2005
tt0398340,Special Ed,"6,7",2006
tt0398712,Assault on Precinct 13,"6,3",2005
tt0398375,Rumor Has It...,"5,5",2006
tt0399006,Die Spur im Schnee,"8,4",2005
tt0398664,Nordeste,"6,6",2005
tt0398982,Duane Hopwood,"6,5",2006
tt0400156,Ambulancen,"5,4",2005
tt0399706,Sum of Existence,"5,9",2005
tt0400201,Bag det stille ydre,"4,7",2005
tt0399048,Mei ren yi jiu,"5,6",2005
tt0399862,End of the Spear,"6,7",2006
tt0399222,Je préfère qu'on reste amis,"6,0",2005
tt0399295,Lord of War,"7,6",2005
tt0399146,A History of Violence,"7,4",2005
tt0400525,The Ice Harvest,"6,2",2006
tt0400237,Die blaue Grenze,"6,3",2005
tt0400598,Lepel,"6,4",2005
tt0400186,Chanthupottu,"6,6",2005
tt0401591,Brooklyn Lobster,"6,3",2005
tt0401420,Fierce People,"6,4",2006
tt0401815,Tamara,"5,0",2006
tt0401808,Xiang ri kui,"7,2",2007
tt0401085,C.R.A.Z.Y.,"7,9",2006
tt0401385,Say Uncle,"5,7",2005
tt0402057,Beowulf & Grendel,"5,8",2006
tt0402102,Chok-Dee,"6,1",2005
tt0402850,The Big White,"6,3",2005
tt0402158,L'empire des loups,"5,8",2005
tt0401559,Der kleine Eisbär 2: Die geheimnisvolle Insel,"5,6",2006
tt0402230,The Great New Wonderful,"5,6",2006
tt0402064,East of Sunset,"6,1",2005
tt0402710,Unge Andersen,"6,2",2005
tt0402808,At Last,"5,4",2005
tt0402399,The New World,"6,7",2006
tt0402894,Casanova,"6,5",2006
tt0403016,Supercross,"4,3",2005
tt0402910,Chaos,"6,4",2006
tt0403217,Last Days,"5,7",2005
tt0404535,Les mauvais joueurs,"5,4",2005
tt0403537,State Property 2,"4,5",2005
tt0403508,The Sisterhood of the Traveling Pants,"6,5",2005
tt0405157,La migra,"5,3",2005
tt0404802,The Notorious Bettie Page,"6,5",2006
tt0403522,Solkongen,"6,1",2005
tt0404850,El camino del diablo,NO DATA,2005
tt0403360,Nordkraft,"6,8",2005
tt0403455,Roll Bounce,"6,2",2005
tt0403848,The Ape,"4,3",2005
tt0404030,Everything Is Illuminated,"7,4",2005
tt0404032,The Exorcism of Emily Rose,"6,7",2005
tt0403933,Chasing Ghosts,"5,3",2005
tt0405281,Rosas rojas... rojas,NO DATA,2005
tt0406194,Sametoví vrazi,"5,8",2005
tt0404003,E ridendo l'uccise,"7,4",2005
tt0406097,Nearing Grace,"5,7",2005
tt0406038,Loggerheads,"7,2",2007
tt0405861,The Deal,"5,0",2005
tt0405743,Barfuss,"7,1",2005
tt0406098,Stestí,"7,1",2005
tt0406158,"The Prize Winner of Defiance, Ohio","7,2",2007
tt0406359,A Year and a Day,"7,5",2005
tt0406650,The Chumscrubber,"6,9",2006
tt0406711,Dobro ustimani mrtvaci,"7,0",2005
tt0406941,Lorelei,"5,3",2005
tt0407214,La sombra del sahuaro,"4,2",2005
tt0407265,Transamerica,"7,4",2006
tt0407230,Le survenant,"6,4",2005
tt0406914,Krev zmizelého,"6,3",2005
tt0407236,Sílení,"7,2",2005
tt0407095,Our Very Own,"6,0",2005
tt0407205,The Sisters,"6,0",2008
tt0408162,Satellite,"6,7",2005
tt0408120,Príbehy obycejného sílenství,"7,2",2005
tt0408318,Voksne mennesker,"7,1",2006
tt0408133,Raul - Diritto di uccidere,"7,4",2005
tt0407998,The Mistress of Spices,"5,5",2006
tt0408306,Munich,"7,5",2006
tt0408302,Knetter,"6,8",2005
tt0409678,Alex,"6,3",2005
tt0408852,Wrong Turn,"5,7",2005
tt0408790,Flightplan,"6,3",2005
tt0409838,Come Away Home,"6,7",2005
tt0409081,New Town Original,"6,2",2005
tt0409184,Les poupées russes,"7,0",2005
tt0410162,The King Maker,"3,5",2005
tt0409527,Shabd,"5,1",2005
tt0410381,La noche del hermano,"4,9",2005
tt0409034,Marilyn Hotchkiss' Ballroom Dancing & Charm School,"6,5",2006
tt0410516,Resurrection: The J.R. Richard Story,"7,8",2005
tt0410275,Lying in Bed,NO DATA,2005
tt0410445,La petite Chartreuse,"6,5",2005
tt0410400,On a Clear Day,"6,9",2006
tt0410410,Oublier Cheyenne,"6,4",2006
tt0410097,Hustle & Flow,"7,3",2005
tt0412019,Broken Flowers,"7,1",2005
tt0410320,The Mighty Celt,"6,6",2005
tt0411267,The Dark,"5,3",2006
tt0410764,Tideland,"6,3",2006
tt0410316,Mi Mejor Enemigo,"7,2",2005
tt0410806,Tre giorni di anarchia,"6,7",2006
tt0410626,Slingshot,"4,5",2005
tt0411098,All the Invisible Children,"7,4",2006
tt0411168,Black Days,"7,7",2005
tt0411195,Breakfast on Pluto,"7,2",2006
tt0412308,Being Cyrus,"7,1",2006
tt0412080,The World's Fastest Indian,"7,8",2006
tt0411242,Como mariposas en la luz,"6,9",2006
tt0411117,L'annulaire,"6,1",2005
tt0411270,De battre mon coeur s'est arrêté,"7,2",2005
tt0411118,Anthony Zimmer,"6,5",2005
tt0412044,WTC View,"6,1",2005
tt0412639,Desolation Sound,"5,3",2005
tt0413015,Mrs. Henderson Presents,"7,0",2005
tt0412843,Durch diese Nacht sehe ich keinen einzigen Stern,"5,5",2005
tt0413078,Orlando Vargas,"5,3",2005
tt0414344,The War Within,"6,8",2005
tt0414675,What's Bugging Seth,"7,0",2005
