tt0309531,Joey Dedio,Eliud Figueroa,Geneviève Bujold,John Savage,Burt Young,Lillo Brancato,Michael Wright,Chad Allen,Flora Martínez,James Ransone
tt0312329,Meg Ryan,Omar Epps,Charles S. Dutton,Tony Shalhoub,Tim Daly,Joe Cortese,Kerry Washington,Sean Bell,Dean McDermott,Skye McCole Bartusiak
tt0314524,Max Enderfors,Andreas af Enehielm,Jarmo Mäkinen,Kati Outinen,Niklas Ulfvarson,Tommy Vallikari,Björn Kjellman,Göran Forsmark,Sten Ljunggren,Gustav Wiklund
tt0314498,Scarlett Johansson,Erika Christensen,Chris Evans,Leonardo Nam,Bryan Greenberg,Darius Miles,Tyra Ferrell,Matthew Lillard,Vanessa Angel,Bill Mackenzie
tt0314063,Linda Hardy,Thomas Kretschmann,Charlotte Rampling,Yann Collette,Frédéric Pierrot,Thomas M. Pollard,Joe Sheridan,Corinne Jaber,Olivier Achard,Jerry Di Giacomo
tt0313300,Marc Donato,William Hurt,Pascale Bussières,Raoul Max Trujillo,Marianella Jimenez,Gerardo Hernandez,Steve Adams,Silverio Morales,Samuel Lopez,Liz MacRae
tt0315273,Nick Whitaker,Chris Kendrick,Nate Bynum,Randall Newsome,Dane Stevens,Christy Summerhays,Carleton Bluford,Neal Barth,Melinda Haynes,Jeff Olson
tt0315297,Ashley Judd,Samuel L. Jackson,Andy Garcia,David Strathairn,Russell Wong,Camryn Manheim,Mark Pellegrino,Titus Welliver,D.W. Moffett,Richard T. Jones
tt0315206,Sunil Malhotra,Lisa Ray,Purva Bedi,Kal Penn,Govardhan Asrani,Ismail Bashey,Johnny Kastl,Ather Ali,Brea Angelo,Subash Kundanmal
tt0316353,Dan Spielman,Leeanna Walsman,Nathan Phillips,Dawn Klingberg,Leigh Whannell,Frank Gallacher,Malcolm Robertson,Josephine Eberhard,Roy Davies,Amy McKay
tt0316498,Lia Chapman,Jorge Perugorría,Rubén Breñas,Raúl Martín,Raquel Rubí,Nelson González,Manuel Oña,Raúl Pomares,Abel Rodríguez,Pablo Guevara
tt0316763,Damon Gameau,Stephen Curry,Ryan Johnson,Callan Mulvey,Sam Worthington,Kestie Morassi,Rachel Gordon,Vito de Francesco,John Merkel,Jennifer Wall
tt0316824,William H. Macy,Til Schweiger,Thomas Kretschmann,Clark Gregg,Scott Caan,Rene Heger,Carmine Giovinazzo,Jeremy Sisto,A.J. Buckley,Sam Huntington
tt0317648,Viggo Mortensen,Omar Sharif,Zuleikha Robinson,Louise Lombard,Ana-Sofia Mastroianna,Saïd Taghmaoui,Silas Carson,Harsh Nayyar,J.K. Simmons,Adoni Maropis
tt0317198,Renée Zellweger,Colin Firth,Hugh Grant,Gemma Jones,Jim Broadbent,James Faulkner,Celia Imrie,Dominic McHale,Donald Douglas,Shirley Dixon
tt0316895,Tony Danza,Sally Sheridan,Dean Marchiano,Brett Stimely,Michelle O'Keefe,Hayden Bromberg,Mark Lucaj,D.A. Sandoval,Michael Ming,
tt0317111,David Logan Rankin,Norman Siopis,Jessica Lawson,Tracy Appleton,Veronica Bero,Rome Neal,E.F. Morrill,Katherine Chilson,Cordell Stahl,Michael Cramer
tt0317042,Richard Rees,Jeremy Sisto,Udo Kier,Deborah Kara Unger,Bruce Payne,Constantin Florescu,Ana Maria Popa,Matt Devlen,Lance Henriksen,Eugene Byrd
tt0318462,Gael García Bernal,Rodrigo de la Serna,Mía Maestro,Mercedes Morán,Jean Pierre Noher,Lucas Oro,Marina Glezer,Sofia Bertolotto,Franco Solazzi,Ricardo Díaz Mourelle
tt0318974,Dennis Quaid,Billy Bob Thornton,Emilio Echevarría,Jason Patric,Patrick Wilson,Jordi Mollà,Leon Rippy,Tom Davidson,Marc Blucas,Robert Prentiss
tt0319056,Barbara Marten,Andrina Carroll,Andrew Dunn,Edward Woodcock,Frank Windsor,Eileen O'Brien,Julia Deakin,William Ilkley,Benjamin Campbell,Duggie Brown
tt0319811,George Alexandru,Christine Boisson,Marinela Chelaru,Dan Condurache,Thibault de Montalembert,Irina Dinescu,Gheorghe Dinica,Ion Fiscuteanu,Alina Ilea,Serban Ionescu
tt0318590,Daniel de Oliveira,Marieta Severo,Reginaldo Faria,Andrea Beltrão,Leandra Leal,Emílio de Mello,Cadu Fávero,André Gonçalves,Arlindo Lopes,Dudu Azevedo
tt0320346,Constantin Praida,Rudy Rosenfeld,Valentin Teodosiu,Viorel Comanici,Zoltan Butuc,Irina Dinescu,Emil Hostina,Remus Margineanu,Lucia Muresan,Victor Rebengiuc
tt0322590,Henry Thomas,Irina Björklund,Helmut Berger,Kari Väänänen,Elena Gorbunova,Katerina Golanova,Aleksandrs Radzevics,Bela B.,Kai Wiesinger,Peter Franzén
tt0323013,Hrithik Roshan,Preity G Zinta,Amitabh Bachchan,Om Puri,Sharad S. Kapoor,Raj Zutshi,Sushant Singh,Prashant Chianani,Shakeel Khan,Ranvir Shorey
tt0322420,Slavko Stimac,Natasa Tapuskovic,Vesna Trivalic,Vuk Kostic,Aleksandar Bercek,Stribor Kusturica,Nikola Kojo,Mirjana Karanovic,Branislav Lalevic,Davor Janjic
tt0324554,Josh Hartnett,Diane Kruger,Matthew Lillard,Rose Byrne,Christopher Cousins,Jessica Paré,Vlasta Vrana,Amy Sobol,Ted Whittall,Isabel Dos Santos
tt0323576,Dee Wallace,Timothy Bottoms,Barbara Carrera,Mickey Rooney,Theresa Saldana,Martin Kove,Kristian Hans Horn,Lilyan Chauvin,Phil Peters,Buddy Daniels Friedman
