tt0219374,Kathy Bates,Rupert Everett,Jonathan Pryce,Ashley Anne Ayer,Kaja Stiglic,Lisa Nicole Wilkerson,Dan Aykroyd,Beth Littleford,Amo Gulinello,Meredith Eaton
tt0217505,Leonardo DiCaprio,Cameron Diaz,Daniel Day-Lewis,Jim Broadbent,John C. Reilly,Henry Thomas,Liam Neeson,Brendan Gleeson,Gary Lewis,Stephen Graham
tt0218390,Tisha Campbell,Dana Ashbrook,Mitchell Anderson,Thom Bierdz,Matt Farnsworth,Phyllis Diller,Brock Peters,Mink Stole,Billy Dee Williams,Edward Beimfohr
tt0221013,Pierre Lebeau,Karine Vanasse,Roy Dupuis,Rémy Girard,Robert Brouillette,Céline Bonnier,Benoît Brière,Yves Jacques,Anne-Marie Cadieux,Pierrette Robitaille
tt0220343,Dominique Swain,Henry Thomas,Arie Verveen,James Urbaniak,Karen Allen,Debra Monk,Blake Lindsley,Suzanne Castle,Starla Lee,Judy Simpson
tt0222024,Shah Rukh Khan,Madhuri Dixit,Salman Khan,Atul Agnihotri,Suman Ranganath,Aishwarya Rai Bachchan,Alok Nath,Aruna Irani,Laxmikant Berde,Vikas Anand
tt0226514,Rodolfo Ranni,Ingrid Pelicori,Enrique Liporace,Jean Pierre Noher,Francisco Cocuzza,Héctor Gióvine,,,,
tt0229187,Agnès Jaoui,Michel Serrault,Bérénice Bejo,Nikolaj Coster-Waldau,Clément van den Bergh,Frances Barber,Bruno Slagmulder,Jean-Claude Lamy,Pascal Greggory,Valérie Dréville
tt0228293,Isabel de Castro,Milton Fernandes,Vilson Sousa,Sabri Lucas,Edson Silvon,António Eugénio,Rui Miguel Monteiro,Waldir Silva,Cláudio Ribeiro,Célio Ribeiro
tt0229567,April Espinoza,Patti Tindall,Justin P. Whittenton,Anni Turney,Joshua Willingham,Deidre Bo,Tyme Denise Allen,Kevin Frese,Linda LeBlang,Tim Monson
tt0231448,Stephen Dorff,Brad Renfro,Fairuza Balk,Norman Reedus,Max Perlich,Drea de Matteo,Vincent Pastore,Frankie Muniz,Balthazar Getty,Nancy Cassaro
tt0233418,Catherine Frot,Lucas Belvaux,Dominique Blanc,Ornella Muti,Gilbert Melki,Patrick Descamps,Olivier Darimont,Alexis Tomassian,Yves Claessens,Christine Henkart
tt0234797,Steve Stavrakis,Sofia Milos,Gino Cabanas,Megan Blake,Lorne Hughes,Kim Swartz,James Martin Kelly,Lee Perkins,Angela Pupello,Michael A. Xynidis
tt0233469,Arnold Schwarzenegger,John Leguizamo,Francesca Neri,Elias Koteas,Cliff Curtis,John Turturro,Jsu Garcia,Tyler Posey,Michael Milhoan,Rick Worthy
tt0233230,Gilbert Melki,Lucas Belvaux,Dominique Blanc,Ornella Muti,Catherine Frot,François Morel,Bernard Mazzinghi,Olivier Darimont,Patrick Descamps,Alexis Tomassian
tt0235737,Val Kilmer,Vincent D'Onofrio,Adam Goldberg,Luis Guzmán,Doug Hutchison,Anthony LaPaglia,Glenn Plummer,Peter Sarsgaard,Deborah Kara Unger,Chandra West
tt0235048,Brian Merrick,DJ Perry,Terry Jernigan,Aaron Jackson,Curtis Hall,Mark Lacy,Lindsey Ingram,Rebecca Lawlor,John Pagano,Anthony Hornus
tt0238546,Aaliyah,Stuart Townsend,Marguerite Moreau,Vincent Perez,Paul McGann,Lena Olin,Christian Manon,Claudia Black,Bruce Spence,Matthew Newton
tt0238936,Shah Rukh Khan,Madhuri Dixit,Aishwarya Rai Bachchan,Jackie Shroff,Kirron Kher,Smita Jaykar,Tiku Talsania,Vijayendra Ghatge,Milind Gunaji,Ananya Khare
tt0238380,Christian Bale,Sean Bean,Emily Watson,Taye Diggs,Dominic Purcell,Christian Kahrmann,John Keogh,Sean Pertwee,William Fichtner,Angus Macfadyen
tt0238924,Kieran Culkin,Jena Malone,Emile Hirsch,Vincent D'Onofrio,Jake Richardson,Tyler Long,Jodie Foster,Arthur Bridgers,Scott Simpson,Melissa McBride
tt0241453,Zen Gesner,Jeannetta Arnette,William Morgan Sheppard,James Bates Jr.,Patrick Cherry,Brett Rice,Talia Osteen,Patrick Leo Holland,Tom Schuster,George 'The Animal' Steele
tt0240340,Betsy Brantley,Beatrice Bush,Pat Hingle,Gil Johnson,Nick Searcy,Cody Newton,Michael Welch,Diana Scarwid,Keith Carradine,Nick Angel
tt0240980,Guy Pearce,Helena Bonham Carter,Peter Curtin,Frank Gallacher,Lindley Joyner,Brooke Harman,Margot Knight,Anthony Martin,Dawn Klingberg,David Ravenswood
tt0241518,Anne-Grethe Bjarup Riis,Peter Perski,Ali Kazim,Charlotte Munksgaard,Ibrahim Atilla Agyun,Birgül Ergin,Ataf Khawaja,Pauli Ryberg,Hanne Pedersen,Morten Høxbro
tt0240510,Heath Ledger,Wes Bentley,Kate Hudson,Mohamed Bouich,Campbell Brown,Daniel Caltagirone,James Cosmo,Andy Coumbe,Angela Douglas,Karim Doukkali
tt0240521,Samy Naceri,Jean-Marc Thibault,Bernard Le Coq,Claire Keim,François Berléand,Philippe Magnan,Nils Tavernier,Alika Del Sol,Jocelyn Quivrin,Dominique Guillo
tt0241998,Cisco Adler,Spencer Grammer,Paris Hilton,Jake Hoffman,Sarah Howard,K. Asher Levin,Courtenay Semel,,,
tt0244122,Rusty Burns,Misha Collins,Bonita Friedericy,Jeffrey Jones,John Carroll Lynch,Valerie Mahaffey,Courtney McLaughlin,Walter Olkewicz,Lara Phillips,Don Oscar Smith
tt0242953,Larisa Oleynik,Shiri Appleby,Peter Coyote,Patricia Kalember,Scott Vickaryous,Shane West,Lynn Whitfield,Amy Madigan,Anton Yelchin,Jennifer Hamilton
tt0243904,Aidan Gillen,Adrian Lester,Peter O'Toole,Iain Rogerson,Anna Jaskolka,Jonathan Shaw,Claudia Lander-Duke,Patrick Malahide,Emily Richards,Todd Boyce
tt0244471,Richard Tyson,Steven Owsley,Michelle Stafford,Willie Gault,Robert Vaughn,Sondra Currie,Jane Bunting,Sean Nepita,Rob Reinis,Joe Nieves
tt0245573,Mark Ruffalo,Kathleen Robertson,Maya Stange,Kel O'Neill,Ben Tolpin,William Keeler,Paula Roth,Lee Cobb,Zach Shaffer,John A. MacKay
tt0245479,Ron Eldard,Kyra Sedgwick,Marisa Tomei,Marley Shelton,Patrick Breen,Sanjiv Jhaveri,Kelly Cole,Zoe Caldwell,Peter Dinklage,Hollis Granville
tt0245522,Adam Baratta,Jennifer Tung,Carrie Stevens,Jennifer Rubin,Ross King,Damian Valencia,Mako,Russell Curry,Victoria Silvstedt,Bonnie-Jill Laflin
tt0245562,Nicolas Cage,Adam Beach,Peter Stormare,Noah Emmerich,Mark Ruffalo,Brian Van Holt,Martin Henderson,Roger Willie,Frances O'Connor,Christian Slater
tt0245844,Jim Caviezel,Guy Pearce,Christopher Adamson,JB Blanc,Guy Carleton,Barry Cassin,Henry Cavill,Briana Corrigan,Brendan Costello,Mairead Devlin
tt0246890,Jon Seda,Mario Lopez,Tonantzin Carmelo,Tim Perez,Vincent Castellanos,Danny Parker-Lopes,Sam Sarpong,Alejandro Miranda Cruz,David Labiosa,Isabella Donato
tt0246677,Cate Blanchett,Giovanni Ribisi,Remo Girone,Stefania Rocca,Alessandro Sperduti,Mattia Sbragia,Stefano Santospago,Alberto Di Stasio,Giovanni Vettorazzo,Gianfranco Barra
tt0246592,Adrien Brody,Milla Jovovich,Illeana Douglas,Vera Farmiga,Jessica Walter,Ron Leibman,Jared Harris,Mirabella Pisani,Helen Hanft,Richmond Hoxie
tt0246719,Miranda Otto,William Fichtner,Lothaire Bluteau,Ryan Smith,Bianca Crudo,Jerzy Nowak,Boguslawa Schubert,Maciej Stuhr,Maria Seweryn,Piotr Kolodziejska
tt0247444,Miguel A. Núñez Jr.,Christopher Simmons,Vivica A. Fox,Kevin Pollak,Tommy Davidson,Kim Wayans,Jenifer Lewis,Ginuwine,Lil' Kim,Annie Corley
