tt0079644,Slamet Rahardjo,Rachmat Hidayat,Sardono W. Kusumo,El Manik,Jenny Rachman,Maruli Sitompul,Soerip,Mang Udel,,
tt0201485,Antonio Banderas,Olivia Williams,John Shrapnel,Derek Jacobi,Jason Flemyng,Lillian Lux,John Wood,Makram Khoury,Vernon Dobtcheff,Ian McNeice
tt0201694,Tony DeCamillis,Hunter Tylo,Joey Sculthorpe,Paul Sorvino,Antonio Sabato Jr.,Jessica Wesson,Tara Davis,Gilbert Gottfried,Ellen Albertini Dow,Zachery Ty Bryan
tt0201479,Jennifer Esposito,Alyson Hannigan,Steve Harris,Nastassja Kinski,Brian McCardie,Todd Field,Michael Cole,Alexis Denisof,Chris Ellis,Marcos A. Ferraez
tt0203975,Dominique Swain,Brad Renfro,Bijou Phillips,Mischa Barton,Alberta Watson,Myles Jeffrey,Scott Thompson,Michael Murphy,Nora Zehetner,Jacob Pitts
tt0203078,Will Wallace,Nicole A. Smith,Wolf Muser,Robert Wisdom,Natasha Pearce,Valeri Ross,Bryan Handy,Daryl Dismond,James Locascio,Royce Herron
tt0203009,Nicole Kidman,Ewan McGregor,John Leguizamo,Jim Broadbent,Richard Roxburgh,Garry McDonald,Jacek Koman,Matthew Whittet,Kerry Walker,Caroline O'Connor
tt0203289,Deep Katdare,Ronobir Lahiri,Purva Bedi,Rizwan Manji,Kal Penn,Anil Kumar,Sunita Param,Alaudin Ullah,Eric Axen,Sanjit De Silva
tt0202294,Tara Fitzgerald,Alex Burchu,Lenore Andriel,Sergei Davidoff,Richard Neil,Vasile Balan,Vera Cheban,Cornel Balan,Olga Davydova,Viacheslav Prokopie
tt0204619,Nicholas Franklin Bray,Tori Sinclair,Erin Marie,Collin Toran,Heidi France,Tomi Luutsford,Jerome Ingels,,,
tt0204700,Vincent Gallo,Tricia Vessey,Béatrice Dalle,Alex Descas,Florence Loiret Caille,Nicolas Duvauchelle,Raphaël Neal,José Garcia,Hélène Lapiower,Marilú Marini
tt0205738,Fedja van Huêt,Carice van Houten,Theo Maassen,Sacha Bulthuis,Cas Enklaar,Erik van der Horst,Eva van der Gucht,Bert Luppes,Carly Wijs,Hadewych Minis
tt0206275,Julia Stiles,Sean Patrick Thomas,Kerry Washington,Fredro Starr,Terry Kinney,Bianca Lawson,Vince Green,Garland Whitt,Elisabeth Oas,Artel Great
tt0207198,Klaus Löwitsch,Til Schweiger,Martin Feifel,Sebastian Blomberg,Nadja Uhl,Matthias Matschke,Doris Schretzmayer,Devid Striesow,Barbara Philipp,Aykut Kayacik
tt0206963,Albert Brooks,Leelee Sobieski,Rutanya Alda,Natasha Braisewell,Henry Brown,Gary Bullock,Kevin Cooney,Nic Costa,William Forward,John Goodman
tt0207051,Jeanette Hain,Nina Petri,Monika Arnó,Vassilios Avgouteas,Jochen Baumert,Senta Bonneval,Christine Buck,Matthew Burton,André Dahms,Christoph Frass
tt0206211,Mohan Agashe,Anju Mahendru,Sachin Khedekar,Sheetal Sheth,J. Richey Nash,Ellen Thompson,Romano Mosca,Michael Wehrhahn,Renee McNeil,
tt0208167,Peter Mark Richman,Eugene Butler,Gabriel Dell Jr.,Lane Garrison,Julie Janney,Kelly Lester,Nehemiah Persoff,Debbie Richman,Helen Richman,Orien Richman
tt0206367,Jason Alexander,Mary Steenburgen,Reese Witherspoon,Seth Green,Carol Burnett,Joe Mantegna,Sam Gifaldi,Dee Bradley Baker,Melissa Disney,Kath Soucie
tt0206113,Jim Caviezel,Mary McCormack,Jake Lloyd,Bruce Dern,Paul Dooley,Brent Briscoe,Mark Fauser,Reed Diamond,Frank Knapp Jr.,Chelcie Ross
tt0207585,Todd Bosley,Brendon Ryan Barrett,Mary Mara,Sammy Elliott,Kristen Parker,Patrick Higgins,Chloe Peterson,Taylor Negron,Tom Arnold,Lu Elrod
tt0207988,Jacqueline Bisset,Martha Plimpton,Nick Stahl,Amy Madigan,Frankie Faison,Carmen Zapata,Peggy Gormley,Seymour Cassel,Molly Price,Kate McGregor-Stewart
tt0208899,David Morse,Thomas Ryan,Philip Goodwin,Ana Reeder,Robert Sella,Judy Bauerlein,Marylouise Burke,Kate Kearney-Patch,Zuri Alexander,Frank Bowman
tt0208990,Nanni Moretti,Laura Morante,Jasmine Trinca,Giuseppe Sanfelice,Stefano Abbati,Stefano Accorsi,Toni Bertorelli,Dario Cantarelli,Eleonora Danco,Claudia Della Seta
tt0209941,Diego Bertie,Orlando Sacha,Jimena Lindo,Paul Vega,Gianfranco Brero,Delfina Paredes,Carlos Gassols,Salvador del Solar,Hernán Romero,Carlos Victoria
tt0210939,Joey Lauren Adams,Ellen DeGeneres,Joel Grey,Andie MacDowell,Alan Rosenberg,Paul Rudd,,,,
tt0210930,Patrícia Guerreiro,Suzana Borges,Rui Morisson,Rogério Samora,José Pinto,Francisco D'Orey,Bruno Martelo,Marga Muguambe,Gustavo Sumpta,Luís Pinhão
tt0210362,Alexis Arquette,Tamara Marie Watson,Jennifer Lambert,Karim Prince,Scott Rinker,William Vogt,Carol Kane,Mark Collver,Robert Donavan,Matt Champagne
tt0209253,Traci Bingham,David Burns,Jason Cornwell,Curt Smith,Kelly Lynch,Blair Stevens,Ross Brockley,Michael Moore,Glen Naessens,Cory Brown
tt0211279,Theo Nicholas Pagones,Jesse Bob Harper,Elan James,Chris Jacobs,Shelley Malil,Betsy Monroe,Julie Arie,Kelly Austin,Maria Beck,Diane Bliss
tt0211318,Maria Gangale,John D'Aquino,Lorenzo Flaherty,Alfonso Santagata,Massimiliano Virgili,Melba Ruffo,Franco Interlenghi,Nadia Rinaldi,Francesca Rettondini,Nusia Gorgone
tt0212827,Sarah Wynter,Vincent Perez,Jonathan Pryce,Simon Verhoeven,Gregor Seberg,Dagmar Schwarz,Wolfgang Hübsch,August Schmölzer,Marion Rottenhofer,Sophie Schweighofer
tt0211465,Jennifer Baxter,Dennis Hopper,Vin Diesel,Barry Pepper,Andy Davoli,Seth Green,John Malkovich,Arthur J. Nascarella,Tom Noonan,Nicholas Pasco
tt0212910,Anton Yelchin,Albert Finney,Bridget Fonda,Campbell Scott,Hank Harris,Kenny Blank,Douglas Spain,Alison Lohman,Lesley Ann Warren,Gary Farmer
tt0212298,Charlie Hofheimer,Laurel Holloman,Leo Fitzpatrick,Avery Glymph,Amelia Campbell,Kit Flanagan,Thomas Lyons,Karen Shallo,James Rebhorn,Seth Kanor
tt0213205,Rick Johnson,Meat Loaf,Ashley Johnson,Zachery Ty Bryan,Michael Papajohn,Shanessa Sweeney,Lee Everett,Leland L. Jones,Jonathan Barbee,Dan Beene
tt0212271,Jami Gertz,Sybil Darrow,Adewale Akinnuoye-Agbaje,Christian Camargo,Jenna Byrne,Andrew Heckler,Jennifer McComb,Laurel Moglen,David Pressman,Kevin Weisman
tt0212495,Irán Castillo,Mariana Ávila,Francesca Guillén,Sherlyn,Osvaldo Benavides,Archie Lafranco,Juan Ángel Esparza,Mauricio Armando,Dulce Angélica,Adriana Barraza
tt0212720,Haley Joel Osment,Jude Law,Frances O'Connor,Sam Robards,Jake Thomas,William Hurt,Ken Leung,Clark Gregg,Kevin Sussman,Tom Gallop
tt0212380,Alan Rickman,Natasha Richardson,Rachel Griffiths,Rachael Leigh Cook,Josh Hartnett,Bill Nighy,Warren Clarke,Rosemary Harris,Hugh Bonneville,Heidi Klum
tt0212985,Anthony Hopkins,Julianne Moore,Gary Oldman,Ray Liotta,Frankie Faison,Giancarlo Giannini,Francesca Neri,Zeljko Ivanek,Hazelle Goodman,David Andrews
tt0213149,Ben Affleck,Kate Beckinsale,Josh Hartnett,William Lee Scott,Greg Zola,Ewen Bremner,Alec Baldwin,Jaime King,Catherine Kellner,Jennifer Garner
tt0214106,Jarod Carey,Brandy Davis,Doria Rone,Griffin Drew,Bobby Johnston,Jenna Mattison,Vince Vouyer,Kim Sill,Nancy O'Brien,
tt0214265,Michel Serrault,Daniel Auteuil,Laura Morante,Jorge Perugorría,Anita Caprioli,Leo Gullotta,Philippe Leroy,Jean-Christophe Brétignière,Nicola Di Pinto,Federica Martinelli
tt0212725,Lino Capolicchio,Giulio Brogi,Teresa Razzauti,Cinzia Monreale,Giovanni Visentin,Elisa Sednaoui,Luigi Coccimiglio,Domenico Seren Gay,Beppe Rosso,Luciano Virieux
tt0214520,Marc Duret,Inge Paulussen,Andréa Ferréol,Delphine Bibet,François Beukelaers,Emile Abossolo M'bo,Valérie Bodson,Cecilia Kankonda,Philippe Noesen,Alain Pieret
tt0215516,Skeet Ulrich,Gary Oldman,Radha Mitchell,Mary Steenburgen,Gordon Tootoosis,Anna Gunn,Peter Greene,Elaina Merkey,Emily Merkey,Cory Dangerfield
tt0214619,Jeremy Sisto,Emily Cline,Liche Ariza,Reathel Bean,Charles Biggers,Richard Bright,Umit Celebi,Christopher Cousins,Mary Diveny,Isaac Hayes
